map,ws,wt,wc,wcl,wd,dm,opp_config,mode,stamp,file_result,file_dur,filename,finish_reason,duration_s,total_dist_m,collision_flag,max_speed,max_lat_acc,global_min_d,global_unsafe_ratio,global_track_rms,global_lat_acc_rms,frenet_usage_pct,fgm_usage_pct,fgm_min_d,fgm_unsafe_ratio,fgm_track_rms,fre_min_d_mean,fre_min_d_min,fre_track_rms_calc,ts_last_t,is_success
hairpin_combo,2.3654,1.7615,0.6445,0.6267,0.5972,0.1301,Opp_bumper_slow_1.csv,MUX_RACING,1765041920,CRASH,17.3,Mux_hairpin_combo_WS2.3654_WT1.7615_WC0.6445_WCL0.6267_WD0.5972_DM0.1301_Opp_bumper_slow_1.csv_MUX_RACING_1765041920_CRASH_dur_17.30s.csv,COLLISION DETECTED,17.3,73.04,True,4.7,14.94,0.17,0.31,0.45,2.92,97.48,2.52,1.13,0.0,0.09,0.8255290381414703,0.173485,0.44837051584154636,17.3,False
hairpin_combo,2.33,1.52,0.8,1.22,1.34,0.37,Opp_bumper_slow_1.csv,MUX_RACING,1765061705,CRASH,45.1,Mux_hairpin_combo_WS2.33_WT1.52_WC0.80_WCL1.22_WD1.34_DM0.37_Opp_bumper_slow_1.csv_MUX_RACING_1765061705_CRASH_dur_45.10s.csv,COLLISION DETECTED,45.1,188.77,True,4.87,31.21,0.0,0.16,0.3,4.1,87.27,12.73,0.0,0.55,0.36,0.7815570376019865,0.16782,0.29413534415720366,45.1,False
hairpin_combo,2.83,1.28,0.9,1.43,1.63,0.42,Opp_bumper_slow_1.csv,MUX_RACING,1765058758,GOAL,60.02,Mux_hairpin_combo_WS2.83_WT1.28_WC0.90_WCL1.43_WD1.63_DM0.42_Opp_bumper_slow_1.csv_MUX_RACING_1765058758_GOAL_dur_60.02s.csv,GOAL REACHED,60.02,254.99,False,4.86,16.49,0.0,0.12,0.37,3.52,85.37,14.63,0.0,0.36,0.33,0.831798006197521,0.0,0.38883977746957443,60.02,True
hairpin_combo,0.69,1.53,1.28,2.57,3.01,0.59,Opp_bumper_slow_1.csv,MUX_RACING,1765051392,GOAL,59.73,Mux_hairpin_combo_WS0.69_WT1.53_WC1.28_WCL2.57_WD3.01_DM0.59_Opp_bumper_slow_1.csv_MUX_RACING_1765051392_GOAL_dur_59.73s.csv,GOAL REACHED,59.73,254.06,False,4.83,19.44,0.0,0.1,0.36,3.7,85.4,14.6,0.0,0.21,0.28,0.8701289290210258,0.0,0.38128829402732894,59.7316,True
hairpin_combo,0.9,2.51,1.72,2.61,2.87,0.58,Opp_bumper_slow_1.csv,MUX_RACING,1765061067,GOAL,60.04,Mux_hairpin_combo_WS0.90_WT2.51_WC1.72_WCL2.61_WD2.87_DM0.58_Opp_bumper_slow_1.csv_MUX_RACING_1765061067_GOAL_dur_60.04s.csv,GOAL REACHED,60.04,255.32,False,4.97,14.25,0.0,0.15,0.37,3.58,85.53,14.47,0.0,0.28,0.3,0.8315365268136699,0.0,0.38088337144632933,60.04,True
hairpin_combo,2.5,1.24,0.72,1.19,1.25,0.33,Opp_bumper_slow_1.csv,MUX_RACING,1765051014,GOAL,58.95,Mux_hairpin_combo_WS2.50_WT1.24_WC0.72_WCL1.19_WD1.25_DM0.33_Opp_bumper_slow_1.csv_MUX_RACING_1765051014_GOAL_dur_58.95s.csv,GOAL REACHED,58.95,255.55,False,4.79,18.16,0.0,0.11,0.37,3.55,86.68,13.32,0.0,0.44,0.32,0.8317504781599837,0.0489153,0.4032145421092763,58.9516,True
Spielberg,0.77,1.95,1.32,2.26,2.57,0.52,Opp_bumper_slow_1.csv,MUX_RACING,1765045597,GOAL,78.0,Mux_Spielberg_WS0.77_WT1.95_WC1.32_WCL2.26_WD2.57_DM0.52_Opp_bumper_slow_1.csv_MUX_RACING_1765045597_GOAL_dur_78.00s.csv,GOAL REACHED,78.0,336.39,False,4.7,9.44,0.0,0.19,0.23,1.76,92.69,7.31,0.0,0.53,0.25,0.7159940189221066,0.0,0.24707459852961583,77.9999,True
Spielberg,1.61,1.49,0.91,1.21,0.48,0.43,Opp_bumper_slow_1.csv,MUX_RACING,1765028805,GOAL,75.98,Mux_Spielberg_WS1.61_WT1.49_WC0.91_WCL1.21_WD0.48_DM0.43_Opp_bumper_slow_1.csv_MUX_RACING_1765028805_GOAL_dur_75.98s.csv,GOAL REACHED,75.98,337.22,False,4.7,8.79,0.0,0.08,0.21,1.77,95.15,4.85,0.0,0.62,0.27,0.7023432776479258,0.0258788,0.22971883206078242,75.9799,True
Spielberg,0.83,2.42,1.68,2.58,2.83,0.58,Opp_bumper_slow_1.csv,MUX_RACING,1765033871,GOAL,78.35,Mux_Spielberg_WS0.83_WT2.42_WC1.68_WCL2.58_WD2.83_DM0.58_Opp_bumper_slow_1.csv_MUX_RACING_1765033871_GOAL_dur_78.35s.csv,GOAL REACHED,78.35,336.62,False,4.7,8.82,0.0,0.19,0.24,1.73,92.3,7.7,0.0,0.54,0.24,0.7065998300372657,0.0,0.2554870007589054,78.3516,True
hairpin_combo,1.57,2.54,1.95,2.77,3.12,0.6,Opp_bumper_slow_1.csv,MUX_RACING,1765054273,CRASH,21.58,Mux_hairpin_combo_WS1.57_WT2.54_WC1.95_WCL2.77_WD3.12_DM0.60_Opp_bumper_slow_1.csv_MUX_RACING_1765054273_CRASH_dur_21.58s.csv,COLLISION DETECTED,21.58,93.97,True,4.7,27.83,0.0,0.06,0.27,4.15,87.79,12.21,0.0,0.23,0.29,0.8655610393995552,0.0,0.26685169850466905,21.5801,False
