ws,wt,wc,wcl,wd,dm,Score_FGM_mean,duration_s_mean,success_count_sum,fgm_min_d_mean,fgm_ratio_mean
2.03,1.14,0.82,1.53,1.92,0.46,28.11836519947159,13.50625,8,0.00201218625,0.20789618095722143
1.6,1.63,0.93,1.24,1.3,0.37,28.046319759656193,13.21375,8,0.0027629687500000002,0.22774334573793098
1.93,2.11,1.38,2.15,2.41,0.51,27.887009171653265,13.64125,8,0.00337876625,0.21800475782254325
1.41,2.31,1.57,2.44,2.74,0.56,27.795320891129336,13.625,8,0.00239647875,0.27846538048474545
0.96,2.07,1.4,2.25,2.52,0.49,27.73803109621806,13.65,8,0.00226882875,0.25098779873463817
0.92,2.45,1.68,2.61,2.88,0.58,27.62211328997757,13.555,8,0.0021242187500000002,0.2697558896789534
0.76,1.82,1.22,2.29,2.64,0.52,27.606344876210752,13.545,8,0.0021058362499999997,0.23360067077886182
0.88,2.19,1.49,2.35,2.66,0.54,27.589889819298357,13.77,8,0.00268257,0.2607537136297372
0.87,2.58,1.81,2.71,2.91,0.57,27.401218943983263,13.838750000000001,8,0.002087625,0.2931411971655128
1.26,2.28,1.63,2.35,2.66,0.53,27.37442716571776,13.73,8,0.00433924875,0.2853119712084131
1.36,1.85,1.17,1.84,2.15,0.45,27.21961465090505,13.71625,8,0.00360927125,0.23078530776121903
0.95,2.06,1.39,2.24,2.51,0.49,27.217074324584146,13.78875,8,0.00185604,0.2795603791432209
1.21,2.25,1.6,2.32,2.63,0.52,27.1701474091585,13.65875,8,0.00205208875,0.2220671362879535
0.78,1.69,1.05,2.18,2.56,0.49,27.07033046161823,13.735,8,0.00202729375,0.2690773968159117
1.34,1.86,1.18,1.85,2.16,0.45,27.051012821640242,13.78875,8,0.00227139,0.25541805095788506
1.85,2.12,1.5,2.33,2.67,0.52,27.022568930201754,13.69625,8,0.0019169175,0.23541139405640027
1.23,2.27,1.61,2.34,2.65,0.52,26.98067243148961,13.936250000000001,8,0.00278813625,0.2748608658524065
0.84,2.27,1.55,2.39,2.67,0.54,26.936683065275396,13.735,8,0.0022500175,0.2950819173576008
0.82,2.32,1.64,2.52,2.74,0.54,26.785165624383005,13.6625,8,0.00257795625,0.2594441173589681
0.87,2.51,1.71,2.62,2.86,0.58,26.774567805467797,13.85875,8,0.0030374275000000003,0.31521655551556743
1.56,2.52,1.93,2.79,3.1,0.59,26.77197910445495,13.7925,8,0.0036212412499999997,0.272852549823847
1.29,2.31,1.57,2.4,2.69,0.55,26.61652102709704,13.7875,8,0.00250182375,0.252441870712676
1.19,2.19,1.58,2.36,2.66,0.53,26.593918605553576,13.76625,8,0.0021672425,0.24931367741254074
1.3,2.04,1.28,2.04,2.36,0.48,26.3587677573705,13.85,8,0.0029722975,0.2293586473742724
0.94,2.05,1.38,2.23,2.5,0.49,26.32862358237275,13.73,8,0.00224150375,0.24192714188132802
1.43,2.3,1.56,2.43,2.73,0.56,26.08923160713264,13.80625,8,0.0017727387499999999,0.23277522817552174
1.37,1.91,1.19,1.78,2.09,0.44,25.56310517935679,13.88125,8,0.004195385,0.22402840194872176
0.9,2.51,1.72,2.61,2.87,0.58,25.34254184908227,14.01375,8,0.0032027799999999997,0.26218913144711814
1.33,1.86,1.14,1.81,2.11,0.44,24.711610829824586,13.95375,8,0.0023018987499999997,0.2100390469038928
1.55,1.42,0.87,1.15,0.45,0.4,37.39209843025191,11.824285714285717,7,0.002264722857142857,0.32141741180168676
1.56,1.41,0.86,1.14,0.44,0.4,36.640471285123446,11.825714285714286,7,0.002175774285714286,0.34278308152988485
1.52,1.39,0.85,1.12,0.43,0.39,35.76948603704611,12.221428571428572,7,0.0028239485714285713,0.3511452174893886
1.7,1.54,0.95,1.27,0.51,0.45,35.73173544014141,11.972857142857142,7,0.00255128,0.3341362465586339
1.59,1.44,0.88,1.17,0.46,0.41,34.8686918692157,12.187142857142858,7,0.0031268285714285715,0.31159389880396987
1.73,1.58,0.97,1.3,0.52,0.46,34.84881213076592,12.234285714285715,7,0.0030148685714285715,0.339870774755098
1.64,1.47,0.91,1.2,0.48,0.42,34.65116363338084,12.188571428571427,7,0.0034706414285714283,0.33267793906752136
2.35,1.75,0.73,1.11,1.1,0.31,34.27110315170385,12.39,7,0.0022906657142857142,0.30512385699089556
1.62,1.48,0.92,1.21,0.48,0.42,33.94078802784423,12.294285714285715,7,0.00376048,0.3069068860832872
1.74,1.59,0.97,1.31,0.52,0.46,33.89540474019481,12.29857142857143,7,0.00293839,0.33230283748461215
1.62,1.48,0.9,1.21,0.47,0.42,33.83221514793236,12.212857142857143,7,0.0034896585714285716,0.3232409795945041
2.63,1.63,0.74,1.12,1.13,0.32,33.66680524012866,12.162857142857144,7,0.0026778857142857144,0.28588061097578155
2.59,1.61,0.72,1.1,1.11,0.32,33.44233063075547,12.375714285714285,7,0.002385851428571429,0.27174791023210715
2.2,1.49,0.77,1.17,1.19,0.34,32.80459083284498,12.44,7,0.002152367142857143,0.25002347926221946
2.53,1.38,0.62,1.16,1.15,0.32,32.7067749983366,12.374285714285715,7,0.00212639,0.31105076158858086
2.63,1.64,0.75,1.11,1.16,0.32,32.526762244588916,12.58,7,0.002140042857142857,0.2756422599752945
1.57,1.43,0.89,1.16,0.46,0.41,32.37269427998234,12.514285714285714,7,0.002750311428571429,0.32201019134101394
1.73,1.84,0.88,1.26,1.41,0.39,32.290121356073186,12.691428571428572,7,0.0029704971428571427,0.23073673568488617
2.61,1.6,0.73,1.11,1.12,0.32,31.93177891976779,12.504285714285714,7,0.0025421385714285713,0.27444475996447965
2.85,1.63,0.75,1.31,1.43,0.41,31.820535531656105,12.684285714285716,7,0.0019720614285714286,0.24885834407044252
