map,ws,wt,wc,wcl,wd,dm,opp_config,mode,stamp,file_result,file_dur,filename,duration_s,fgm_min_d,fgm_unsafe_ratio,fgm_track_rms,fre_min_d,fre_unsafe_ratio,fre_track_rms,fgm_ratio,frenet_ratio,fgm_sc,fre_sc,S_progress,Score_FGM,Score_FRENET,success_count
playground,2.49,1.48,0.84,1.27,1.35,0.37,Opp_bumper_slow_1.csv,MUX_OBSTACLE,1765074144,GOAL,12.65,Mux_playground_WS2.49_WT1.48_WC0.84_WCL1.27_WD1.35_DM0.37_Opp_bumper_slow_1.csv_MUX_OBSTACLE_1765074144_GOAL_dur_12.65s.csv,12.65,0.00145294,0.35110294117647056,0.4453513726981265,0.0107471,0.2332155477031802,1.4527851711670596,0.19601644008852356,0.8039835599114764,0.27964910221904143,0.24915643836439227,0.4662698412698413,33.56353239342814,31.429045923602693,1
playground,1.94,2.12,1.39,2.16,2.49,0.52,Opp_bumper_slow_2.csv,MUX_OBSTACLE,1765085787,GOAL,13.22,Mux_playground_WS1.94_WT2.12_WC1.39_WCL2.16_WD2.49_DM0.52_Opp_bumper_slow_2.csv_MUX_OBSTACLE_1765085787_GOAL_dur_13.22s.csv,13.22,0.00430848,0.6288968824940048,0.4436618851885366,0.0473666,0.1655350792111219,1.7310276546234122,0.18360556563823352,0.8163944343617665,0.21176370013093188,0.2906289243011821,0.3531746031746031,25.41869710440332,30.939262796320836,1
playground,0.9,2.22,1.51,2.39,2.69,0.55,Opp_bumper_slow_0.5.csv,MUX_OBSTACLE,1765069371,GOAL,14.52,Mux_playground_WS0.90_WT2.22_WC1.51_WCL2.39_WD2.69_DM0.55_Opp_bumper_slow_0.5.csv_MUX_OBSTACLE_1765069371_GOAL_dur_14.52s.csv,14.52,0.00552817,0.3812189054726368,0.4900582112595485,0.00282777,0.17600964436407474,1.685177875037779,0.10217570917102727,0.8978242908289727,0.2736019275027828,0.23776385294653946,0.09523809523809534,22.009277782337655,19.500612563400622,1
playground,1.41,2.18,1.44,2.2,2.49,0.53,Opp_bumper_slow_0.5.csv,MUX_OBSTACLE,1765069557,GOAL,13.83,Mux_playground_WS1.41_WT2.18_WC1.44_WCL2.20_WD2.49_DM0.53_Opp_bumper_slow_0.5.csv_MUX_OBSTACLE_1765069557_GOAL_dur_13.83s.csv,13.83,0.00121843,0.6804308797127468,0.4520232901381943,0.00574458,0.11753958587088915,1.6556704116845453,0.10002891008962128,0.8999710899103788,0.19420679763542267,0.2584068587985895,0.23214285714285718,20.5587615487653,25.052765830186974,1
playground,1.72,1.57,0.96,1.29,0.51,0.45,Opp_bumper_slow_2.csv,MUX_OBSTACLE,1765082135,GOAL,13.79,Mux_playground_WS1.72_WT1.57_WC0.96_WCL1.29_WD0.51_DM0.45_Opp_bumper_slow_2.csv_MUX_OBSTACLE_1765082135_GOAL_dur_13.79s.csv,13.79,0.00326427,0.4659259259259259,0.44746717169860123,0.0349422,0.202803738317757,1.565674347988781,0.23781902552204176,0.7621809744779582,0.2521456593548619,0.277947225290521,0.24007936507936528,24.85257710722129,26.658686722717427,1
playground,2.7,1.27,0.69,1.09,1.12,0.31,Opp_bumper_slow_1.5.csv,MUX_OBSTACLE,1765081500,GOAL,12.3,Mux_playground_WS2.70_WT1.27_WC0.69_WCL1.09_WD1.12_DM0.31_Opp_bumper_slow_1.5.csv_MUX_OBSTACLE_1765081500_GOAL_dur_12.30s.csv,12.3,0.00166408,0.7345309381237525,0.44058389869836256,0.00868168,0.07711711711711712,1.3404176451540228,0.19863459037711315,0.8013654096228868,0.18164723343258063,0.2948437826588825,0.5357142857142857,28.78673491170921,36.71049335755035,1
playground,2.77,1.18,0.92,1.54,1.82,0.45,Opp_bumper_slow_1.5.csv,MUX_OBSTACLE,1765081638,GOAL,12.61,Mux_playground_WS2.77_WT1.18_WC0.92_WCL1.54_WD1.82_DM0.45_Opp_bumper_slow_1.5.csv_MUX_OBSTACLE_1765081638_GOAL_dur_12.61s.csv,12.61,0.00334861,0.3312666076173605,0.4453567669761372,0.0264217,0.08028455284552846,1.5289174010777933,0.2797335870599429,0.7202664129400571,0.28702429240009747,0.3018530549055931,0.4742063492063494,34.3178909441973,35.355904319581995,1
playground,1.46,2.38,1.82,2.58,2.87,0.58,Opp_bumper_v_4.csv,MUX_OBSTACLE,1765101289,GOAL,14.46,Mux_playground_WS1.46_WT2.38_WC1.82_WCL2.58_WD2.87_DM0.58_Opp_bumper_v_4.csv_MUX_OBSTACLE_1765101289_GOAL_dur_14.46s.csv,14.46,0.00173553,0.3127809890815671,0.4343037698507058,0.00374732,0.1411901983663944,1.3816707671740793,0.2851216814159292,0.7148783185840708,0.29063154096111804,0.2694999639076358,0.107142857142857,23.558493581563972,22.079283187820213,1
playground,2.8,1.32,0.84,1.37,1.65,0.43,Opp_bumper_slow_1.csv,MUX_OBSTACLE,1765072810,GOAL,13.35,Mux_playground_WS2.80_WT1.32_WC0.84_WCL1.37_WD1.65_DM0.43_Opp_bumper_slow_1.csv_MUX_OBSTACLE_1765072810_GOAL_dur_13.35s.csv,13.35,0.00274683,0.5482487491065047,0.4429822003592021,0.00477948,0.12479845211222186,1.4280209603662546,0.24505692031156381,0.7549430796884362,0.2306763604898129,0.27164284828783913,0.3273809523809525,25.96877380571548,28.836427951577313,1
playground,2.84,1.35,0.86,1.39,1.68,0.44,Opp_bumper_v_2.csv,MUX_OBSTACLE,1765091470,GOAL,12.49,Mux_playground_WS2.84_WT1.35_WC0.86_WCL1.39_WD1.68_DM0.44_Opp_bumper_v_2.csv_MUX_OBSTACLE_1765091470_GOAL_dur_12.49s.csv,12.49,0.00413614,0.4711297071129707,0.5066054238937798,0.0131335,0.1022875816993464,1.5792388474117802,0.235595390524968,0.764404609475032,0.24762962732139468,0.27665490417646943,0.4980158730158731,32.27455010297382,34.30631948282905,1
