t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
0.000119947,24.0728,7.81335,-0.108177,0.13181,0.0501,0.00660369,FRENET,0,2.08748,0,0.0603766,2.08748,0.793302,0

--- Experiment Summary ---
Scenario,Mux_playground_WS1.1052_WT2.3484_WC1.1856_WCL1.7559_WD1.343_DM0.185_Opp_bumper_slow_1.csv
Mode,MUX_OBSTACLE
Finish Reason,GOAL REACHED
Duration (s),0.00
Total Dist (m),0.00
Collision,NO
FRENET Usage (%),100.00
FGM Usage (%),0.00
Max Speed (m/s),0.13
Max Lat Acc (m/s^2),0.01
Global Min Dist (m),0.00
Global Unsafe Ratio,1.00
Global Track RMS (m),2.09
Global Lat Acc RMS,0.01
FGM Min Dist (m),1000000000.00
FGM Unsafe Ratio,0.00
FGM Track RMS (m),0.00
