t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
0.000114637,24.0201,7.43779,-0.159505,0.13181,0.0366302,0.00482824,FRENET,0,2.08912,0,0,2.08912,0.969639,0

--- Experiment Summary ---
Scenario,Mux_playground_WS1.2082_WT3.0446_WC1.3749_WCL1.1709_WD1.1202_DM0.1757_Opp_bumper_slow_1.csv
Mode,MUX_OBSTACLE
Finish Reason,GOAL REACHED
Duration (s),0.00
Total Dist (m),0.00
Collision,NO
FRENET Usage (%),100.00
FGM Usage (%),0.00
Max Speed (m/s),0.13
Max Lat Acc (m/s^2),0.00
Global Min Dist (m),0.00
Global Unsafe Ratio,1.00
Global Track RMS (m),2.09
Global Lat Acc RMS,0.00
FGM Min Dist (m),1000000000.00
FGM Unsafe Ratio,0.00
FGM Track RMS (m),0.00
