t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
6.9617e-05,26.1969,7.13509,-0.0514591,0.135975,-1.66496e-05,-2.26392e-06,NONE,0,0,0,0,0,0,0

--- Experiment Summary ---
Scenario,Opp_bumper_slow_1.csv_FFG193.5_SCD22.6_Gap0.850_Bub0.410_Clr0.505_WW0.530_AW8.30_SW0.059_HB1.58_CT0.178_SA0.470_DBS0.170_SPD4.55
Finish Reason,GOAL REACHED
Duration (s),0.00
Total Dist (m),0.00
Collision,NO
Min Dist (m),0.00
Unsafe Ratio,1.00
FGM Min Dist (m),1000000000.00
FGM Unsafe Ratio,0.00
FGM Track RMS (m),0.00
