# x, y, yaw_rad, speed_mps, dist_to_wall
-69.6374,45.1308,-0.796748,7,1.05487
-69.5808,45.0728,-0.796986,7,1.05487
-69.5241,45.0149,-0.797195,7,1.0661
-69.4675,44.9569,-0.797383,7,1.07733
-69.4109,44.899,-0.797569,7,1.08857
-69.3544,44.841,-0.797757,7,1.10106
-69.2978,44.783,-0.797937,7,1.10106
-69.2413,44.7251,-0.798093,7,1.10106
-69.1848,44.6671,-0.798231,7,1.10106
-69.1283,44.6092,-0.798364,7,1.10106
-69.0718,44.5512,-0.798499,7,1.10106
-69.0154,44.4932,-0.798625,7,1.10106
-68.9589,44.4353,-0.798734,7,1.10106
-68.9025,44.3773,-0.79883,7,1.10106
-68.8461,44.3194,-0.798921,7,1.10106
-68.7897,44.2614,-0.799013,7,1.10106
-68.7333,44.2034,-0.799099,7,1.10106
-68.6769,44.1455,-0.799173,7,1.10106
-68.6205,44.0875,-0.799238,7,1.10106
-68.5641,44.0296,-0.799301,7,1.10106
-68.5077,43.9716,-0.799365,7,1.10106
-68.4514,43.9136,-0.799424,7,1.05487
-68.395,43.8557,-0.799476,7,1.10106
-68.3387,43.7977,-0.799522,7,1.05487
-68.2823,43.7398,-0.799568,7,1.05487
-68.226,43.6818,-0.799614,7,1.05487
-68.1696,43.6238,-0.799658,7,1.05487
-68.1133,43.5659,-0.799697,7,1.05487
-68.057,43.5079,-0.799732,7,1.05487
-68.0007,43.45,-0.799768,7,1.05487
-67.9443,43.392,-0.799804,7,1.05487
-67.888,43.334,-0.799839,7,1.05487
-67.8317,43.2761,-0.799871,7,1.10106
-67.7754,43.2181,-0.7999,7,1.05487
-67.7191,43.1602,-0.799931,7,1.05487
-67.6628,43.1022,-0.799963,7,1.10106
-67.6065,43.0442,-0.799994,7,1.05487
-67.5502,42.9863,-0.800024,7,1.0661
-67.4939,42.9283,-0.800053,7,1.07733
-67.4376,42.8704,-0.800085,7,1.08857
-67.3814,42.8124,-0.80012,7,1.0998
-67.3251,42.7544,-0.800156,7,1.10106
-67.2688,42.6965,-0.800191,7,1.10106
-67.2125,42.6385,-0.800228,7,1.10106
-67.1563,42.5806,-0.800272,7,1.10106
-67.1,42.5226,-0.800322,7,1.10106
-67.0438,42.4646,-0.800375,7,1.10106
-66.9875,42.4067,-0.800428,7,1.10106
-66.9313,42.3487,-0.800487,7,1.10106
-66.875,42.2908,-0.800558,7,1.10106
-66.8188,42.2328,-0.800641,7,1.10106
-66.7626,42.1748,-0.800729,7,1.10106
-66.7064,42.1169,-0.800816,7,1.10106
-66.6502,42.0589,-0.800912,7,1.10106
