ws,wt,wc,wcl,wd,dm,Score_FGM_mean,Score_FGM_max,Score_FRENET_mean,Score_FRENET_max,duration_s_mean,collision_flag_sum,fgm_min_d_mean,fre_min_d_mean
1.8,1.65,1.02,1.35,0.55,0.49,22.966688887883432,28.090133440074915,21.90278225887313,24.397270518424456,11.8775,0,0.0027530625000000003,0.0197446425
1.41,1.89,1.23,1.88,2.2,0.45,22.57192737754255,27.39533241113058,20.836640142223484,23.004086466290826,13.18875,0,0.0035694775,0.01605602875
1.75,1.6,0.98,1.32,0.53,0.47,22.545710755917895,27.69023339891295,21.268779534323144,24.126915395575903,11.725,0,0.0036316375,0.01781580375
1.41,2.18,1.44,2.2,2.49,0.53,22.46766447389089,25.07753294627633,21.188551784022515,24.249682856107285,13.27375,0,0.0029390600000000003,0.019837085
1.68,1.51,0.94,1.26,0.5,0.44,22.27147108154307,26.40966412725393,21.3458488589629,24.049985789398892,12.02125,0,0.00196987625,0.01308026375
1.59,2.56,1.96,2.79,3.12,0.59,22.241539235177108,26.285836494721593,20.686479016036778,23.11494840568932,13.35125,0,0.00200036125,0.01389149
0.83,2.43,1.67,2.57,2.79,0.56,22.201897649699713,24.415335463143634,20.605217502945393,21.81022995376591,13.303749999999999,0,0.00405511625,0.01151431875
2.67,1.66,0.97,1.52,1.88,0.46,22.156707631557826,25.768438013875084,20.72467061754069,22.348220034189552,12.985,0,0.0028871025,0.015130498749999999
0.98,2.48,1.56,2.4,2.62,0.52,22.149223504273653,25.148126627388656,20.87292189228203,22.260104313698488,13.30375,0,0.0038895575,0.01584341
0.92,1.99,1.4,2.22,2.49,0.47,22.12201929287318,25.841329164555756,20.7394151383682,24.468398349587396,13.23625,0,0.0020523375,0.015904885
1.69,1.53,0.94,1.26,0.5,0.44,22.10579742987958,28.0590649081334,21.002464471898392,23.247070774148526,12.2525,0,0.001995645,0.01802981875
1.45,2.32,1.58,2.45,2.75,0.56,22.09037157688851,25.394918406781226,20.9675121030331,25.67066455736986,13.27875,0,0.0026557325,0.0128413525
1.71,1.55,0.93,1.28,0.49,0.45,22.01324707207367,27.47622219491036,20.237627402234985,22.838300195641292,12.307500000000001,0,0.00216308625,0.026164938750000002
1.5,2.47,1.69,2.56,2.82,0.58,21.998335159009056,25.234472364387972,20.161420250343387,21.73175406519059,13.73375,0,0.00375007125,0.00778096875
2.03,1.14,0.82,1.53,1.92,0.46,21.998007255215104,26.466524005362857,20.203008786323437,21.12239089184061,13.50625,0,0.00201218625,0.0109312725
1.96,2.14,1.42,2.21,2.49,0.53,21.992201130697925,24.444494744479165,20.365292722303145,23.520214364727305,13.41625,0,0.0041214625,0.01173465875
1.26,2.28,1.63,2.35,2.66,0.53,21.97778473890618,26.17430196309165,19.991601411312946,21.22370317002882,13.73,0,0.00433924875,0.009484331249999998
1.12,2.38,1.66,2.44,2.8,0.54,21.962967772874673,25.635459294741903,20.164938341476162,22.0737526600788,13.525,0,0.00428713,0.007953294999999999
1.41,2.66,1.7,2.3,2.59,0.51,21.90993074637888,25.762878963268264,20.393549153223745,21.36433369267767,13.47125,0,0.00420532,0.01533843875
0.86,2.55,1.76,2.69,2.91,0.59,21.843379896349646,23.956273773687958,21.055711857666562,24.03514960848495,13.44875,0,0.0017874725,0.012642585
0.93,2.02,1.36,2.2,2.46,0.48,21.77004910590681,25.251924677264086,20.208543580437574,21.666619537554652,13.64875,0,0.0028291699999999998,0.0083260425
1.93,2.11,1.38,2.15,2.41,0.51,21.70131242651025,26.386488414735133,20.276386776470872,24.547232568021897,13.64125,0,0.00337876625,0.00792812125
0.99,2.18,1.47,2.33,2.63,0.54,21.688037676218233,25.47875267051851,20.565406806713764,23.74403527892623,13.60875,0,0.0049339975000000005,0.00754690375
1.85,2.12,1.5,2.33,2.67,0.52,21.678439362443328,24.237178792392854,20.2199945055627,21.734299172138165,13.69625,0,0.0019169175,0.01038371
0.92,2.45,1.68,2.61,2.88,0.58,21.6715073164295,24.90375949136704,20.890875120921187,22.43153809564992,13.555,0,0.0021242187500000002,0.0072424362499999995
1.36,1.85,1.17,1.84,2.15,0.45,21.660860515959936,27.309905709105596,19.913391080538513,23.234462130302813,13.71625,0,0.00360927125,0.007262795
0.81,2.47,1.66,2.63,2.86,0.59,21.628367529317167,24.276623698638566,20.0332671649723,21.161908900362967,13.59375,0,0.009900708749999999,0.00501860125
1.21,2.25,1.6,2.32,2.63,0.52,21.627516285886635,24.593605135521237,20.261549051858545,22.003082166368078,13.65875,0,0.00205208875,0.014160531249999999
1.43,2.3,1.56,2.43,2.73,0.56,21.62665525157372,25.704889002681842,19.97249347893663,21.96298888876568,13.80625,0,0.0017727387499999999,0.01479787875
1.72,1.57,0.96,1.29,0.51,0.45,21.604690244473847,27.54400311858693,20.483107018603448,24.523016752042086,12.1875,0,0.00242745875,0.01735276875
0.84,2.27,1.55,2.39,2.67,0.54,21.58722079633253,24.00436047937816,20.520131078984022,22.13021195274496,13.735,0,0.0022500175,0.01087468875
1.37,1.98,1.12,1.87,2.21,0.45,21.57459462526917,25.755409337412694,20.112780818821694,26.255752863297253,13.235,0,0.0026226,0.0205836425
0.88,2.21,1.52,2.36,2.64,0.54,21.550967643620545,25.001271930983826,20.342114436910855,23.662672056700966,13.70875,0,0.0026195525,0.01118448
2.77,1.18,0.92,1.54,1.82,0.45,21.541724890674885,24.98351894094088,20.742280640880665,22.779676066342695,13.145,0,0.0029233325,0.013939245
1.41,2.31,1.57,2.44,2.74,0.56,21.527299460087516,24.45642718754292,20.344985760879,22.59822445343947,13.625,0,0.00239647875,0.0160727975
2.92,1.42,1.04,1.58,1.77,0.47,21.516667610869337,24.143546080178403,20.83947651853158,22.28303019903912,13.0475,0,0.00307687875,0.01232920625
0.8,2.4,1.65,2.56,2.79,0.57,21.51095966608066,24.958441395430935,20.2769684593017,22.797344842279827,13.56125,0,0.00446177,0.01183322125
0.78,1.69,1.05,2.18,2.56,0.49,21.505069688075228,24.213335229290813,20.21133452916433,23.393455116247324,13.735,0,0.00202729375,0.00937075375
0.82,2.32,1.64,2.52,2.74,0.54,21.464135082531936,23.7632765475467,20.41705321159412,23.39012461750485,13.6625,0,0.00257795625,0.0096064175
0.76,1.82,1.22,2.29,2.64,0.52,21.44226182412941,23.716502605124766,20.505290941164407,22.481319314960714,13.545,0,0.0021058362499999997,0.01357437875
0.88,2.19,1.49,2.35,2.66,0.54,21.426068859624607,25.754367975832544,20.22697630108185,21.59299733762615,13.77,0,0.00268257,0.00956654625
0.95,2.06,1.39,2.24,2.51,0.49,21.415200014464176,23.719757621874642,19.939054390360273,23.481190473448425,13.78875,0,0.00185604,0.009965598749999999
1.56,2.52,1.93,2.79,3.1,0.59,21.403136036326533,24.233549594965144,20.148485925634027,22.964601769911503,13.7925,0,0.0036212412499999997,0.016916565
1.19,2.19,1.58,2.36,2.66,0.53,21.40228795296284,24.23512234035848,20.291068313193165,24.60305728975395,13.76625,0,0.0021672425,0.013564672500000001
0.87,2.51,1.71,2.62,2.86,0.58,21.400548585324238,24.42191967734648,20.182705971758036,24.162367152020224,13.85875,0,0.0030374275000000003,0.01224952625
2.78,1.33,0.84,1.41,1.69,0.44,21.39736429235345,25.466063750410374,20.07368830523642,22.757435252036824,13.28625,0,0.00251510625,0.0204215875
1.37,1.91,1.19,1.78,2.09,0.44,21.359792420703698,24.989821580109552,19.758986071206117,21.20304336329984,13.88125,0,0.004195385,0.0118820475
1.23,2.27,1.61,2.34,2.65,0.52,21.355341252913284,24.66297784644778,19.49932471373389,20.644837247831596,13.936250000000001,0,0.00278813625,0.013891733750000001
1.3,2.04,1.28,2.04,2.36,0.48,21.30543209989637,24.76659587504416,20.036682013852854,21.78283410138249,13.85,0,0.0029722975,0.01024960125
0.87,2.58,1.81,2.71,2.91,0.57,21.294851704790783,23.521481171402698,20.067259098585517,22.356498811887633,13.838750000000001,0,0.002087625,0.010269187499999999
1.76,1.61,0.99,1.34,0.53,0.47,21.280425694407647,24.561330328678682,19.86378996191471,23.681495923431406,12.1075,0,0.0023959475,0.01677252125
0.9,2.59,1.76,2.67,2.91,0.59,21.254077574646207,23.859542599912082,20.316127954138025,24.828587061954384,13.71375,0,0.00155703,0.01279421875
1.33,1.86,1.14,1.81,2.11,0.44,21.23984224904593,24.79575263633691,19.883648146967836,22.432003525651584,13.95375,0,0.0023018987499999997,0.01392932625
0.73,1.79,1.2,2.27,2.62,0.51,21.154444446294256,24.546826385897475,19.675636558209373,23.336169038695882,13.56125,0,0.00234331875,0.0085825075
0.83,2.59,1.74,2.67,2.86,0.59,21.11415561718944,23.25481813457647,20.48294888622458,23.607299666063252,13.43875,0,0.0037430287500000003,0.008062355
0.83,2.11,1.43,2.29,2.6,0.53,21.060611544433726,25.32185731575917,20.353620445294624,22.415123456790123,13.7825,0,0.00457751875,0.008841324999999999
1.57,2.36,1.6,2.44,2.73,0.57,21.049010251361665,25.572994703581543,19.80788402392542,21.52487574310496,14.106250000000001,0,0.0029707099999999997,0.0085854975
1.34,1.86,1.18,1.85,2.16,0.45,21.041457528851712,24.278183099215298,19.861509269550698,21.541825952493447,13.78875,0,0.00227139,0.01186993375
0.7,1.71,1.08,2.19,2.54,0.5,21.02784066826794,24.650671396153516,20.10439914633979,23.040713655206318,13.82875,0,0.00261715125,0.00776293625
0.75,2.44,1.74,2.6,2.89,0.58,21.017086599379084,23.422882729537438,20.075617946237458,23.584624011963257,13.985,0,0.005090445,0.01464323375
0.68,2.06,1.32,2.46,2.72,0.56,20.90989493406705,24.164096347126197,19.88936082922957,22.370556505020296,14.015,0,0.00284353,0.0116641175
2.71,1.55,0.9,1.47,1.82,0.45,20.8969208645998,24.452016691048943,19.75400709052007,22.266665548923616,13.275,0,0.00231644875,0.0105451
1.63,1.46,0.9,1.19,0.47,0.42,20.895490777615123,22.10571018291059,19.947792639729222,24.04242353063994,12.02625,0,0.0023521125,0.02931267125
0.91,2.61,1.77,2.73,2.92,0.59,20.890209070960257,23.53240612295455,19.97254109580914,22.583214328055785,13.98875,0,0.00262121125,0.012493845
0.69,1.53,1.28,2.57,3.01,0.59,20.87427072895736,23.951482792423665,19.655199618352945,22.09160387397749,14.01375,0,0.00206468,0.0103168025
1.29,2.31,1.57,2.4,2.69,0.55,20.865695167725416,24.39145008231394,19.45804028044382,21.615242931103147,13.7875,0,0.00250182375,0.010757108750000001
0.96,2.07,1.4,2.25,2.52,0.49,20.848638772941158,24.10217857973722,19.333465504981227,21.764572282740513,13.65,0,0.00226882875,0.012700241250000001
0.9,2.51,1.72,2.61,2.87,0.58,20.846843731161012,24.26942600770682,20.08778318370839,22.211591386729822,14.01375,0,0.0032027799999999997,0.01156706375
1.61,1.49,0.91,1.21,0.48,0.43,20.820489358783433,25.90875367591551,19.249587646095996,23.218933284457478,12.48375,0,0.00331114375,0.00961914125
1.66,1.48,0.92,1.22,0.49,0.43,20.809757334094417,21.408758669666874,19.15140437458596,24.008741655890674,12.045,0,0.00338263625,0.01244424125
2.39,1.5,0.82,1.26,1.34,0.37,20.742962040897513,23.357132805924856,19.313450768152077,22.226576903356715,12.6775,0,0.0021157150000000002,0.00712785375
1.65,1.47,0.9,1.2,0.47,0.42,20.696899163009128,21.326368235456286,19.177669563409076,23.235683171314207,12.0875,0,0.00257817375,0.012703135
2.77,1.25,1.05,1.57,1.84,0.45,20.663328411539897,24.1403455869192,20.047232847291333,23.55210067869406,13.49375,0,0.002445895,0.007247119999999999
0.88,2.53,1.72,2.63,2.87,0.58,20.61943921849568,23.378480229477056,19.319515393871356,22.811767977491332,13.69375,0,0.00411647875,0.00879251375
1.55,1.4,0.86,1.13,0.44,0.4,20.593346844022154,21.758106423377356,18.703018669963082,23.23751300728408,12.30375,0,0.00301189625,0.0147028
0.94,2.05,1.38,2.23,2.5,0.49,20.575652643829805,23.07565631849823,19.392609070688255,25.092766835572267,13.73,0,0.00224150375,0.010911255
2.88,1.62,0.76,1.3,1.44,0.42,20.562168860459494,23.902206148998026,19.154386117937918,23.34442855866321,12.58375,0,0.003575385,0.0071937
2.9,1.6,0.74,1.29,1.42,0.41,20.52818526554503,21.70739358273274,19.051346186111047,24.194087733716866,12.49375,0,0.00298809875,0.012649977500000001
0.9,2.22,1.51,2.39,2.69,0.55,20.520302053631863,25.95203563415085,19.35687951508047,23.208426221102613,13.875,0,0.00292519,0.01145469
2.91,1.32,0.66,1.12,1.01,0.3,20.44534532733882,21.02096758856757,18.90417129533777,22.860973551706966,12.38125,0,0.0029474525,0.00879474875
1.63,1.65,0.96,1.28,1.33,0.38,20.407924171934894,24.759026276260812,18.72598195010536,22.030383395029084,13.37125,0,0.0027423725,0.008596583750000001
1.58,2.05,1.75,2.61,2.83,0.49,20.388442731896678,24.725130471665434,18.582109706754725,21.664170315728615,14.1775,0,0.0018678625,0.01319924125
2.64,1.57,0.69,1.09,1.08,0.3,20.345322226868667,21.83343928273051,18.635671069769224,24.46032546082949,12.49375,0,0.00223984875,0.017591795
2.98,1.08,0.79,1.2,1.41,0.4,20.318378882982586,23.265285834817824,19.12444864788434,22.2855553525169,13.0125,0,0.00283939125,0.0103701325
2.49,1.35,0.64,1.18,1.17,0.33,20.313733835126744,21.268009950235196,18.783943281748584,23.835192660237066,12.415000000000001,0,0.0032786,0.01001563875
2.73,1.53,0.88,1.45,1.8,0.46,20.29844040170094,24.7512199963572,19.34975122060379,22.917182015711184,13.28375,0,0.00218206875,0.0113158875
2.17,1.69,0.94,1.24,1.15,0.35,20.271692953007644,20.74941351934183,18.262683566392454,22.57766503243161,12.63875,0,0.0026906775,0.016162569999999998
2.7,1.27,0.69,1.09,1.12,0.31,20.2010344647243,21.23726482479446,18.955116141455573,23.877724498692242,12.5625,0,0.00200426125,0.0121063925
2.47,1.47,0.83,1.26,1.34,0.37,20.13976439180193,21.441669571104445,18.46642908033078,23.30975643849059,12.58,0,0.0019078699999999999,0.0096562625
2.95,1.34,0.89,1.42,1.67,0.43,20.137323751186596,22.610073832944842,19.235548190427348,22.581922426777336,13.03125,0,0.00299571375,0.01270725125
2.62,1.59,0.71,1.12,1.09,0.31,20.056046873984766,20.95889975687108,18.47627477520882,23.509749141008108,12.74625,0,0.00200604875,0.01329422875
1.88,1.74,1.03,1.33,1.53,0.42,19.910894877831602,20.983898608271264,18.301246465591184,22.900268438054503,12.77875,0,0.00249618,0.01091660375
1.7,1.54,0.95,1.27,0.51,0.45,19.884827404408906,26.950442233605067,19.33440965650804,23.92325629009509,11.5075,1,0.002492045,0.02068567375
1.61,1.59,0.92,1.23,1.29,0.36,19.85061685873494,21.063856767923475,18.784552643845146,22.24797774291597,13.09,0,0.00293060125,0.01502663625
1.128,1.2613,3.1432,1.8351,1.6502,0.2074,19.818582120850436,26.653818233034087,16.195512156178722,22.57605231124067,15.161249999999999,0,0.0056553687500000005,0.015450413750000001
2.56,1.21,0.92,1.44,1.73,0.43,19.70870522101283,22.843731916222143,18.480641126486464,22.956258582265942,13.68125,0,0.00233136875,0.0075088275
2.58,1.29,0.73,1.22,1.41,0.37,19.665066113467592,20.48709822288785,18.02492742433926,22.196211351900264,12.9475,0,0.00276531625,0.00983800625
1.49,2.57,1.92,2.77,3.09,0.6,19.640492314948666,25.671278439345773,18.42927183381113,23.942199230965794,11.52,0,0.002304002857142857,0.015118789999999998
1.0142,1.0977,2.0636,1.6002,1.2406,0.2008,19.638230668686234,27.323479624426835,16.5265342708431,26.304846539304727,15.085,0,0.00504548,0.014583578750000001
1.36,1.94,1.26,1.98,2.31,0.47,19.565500505084973,25.9971920349233,17.790574046172956,22.154553454920645,13.905,1,0.0022718625,0.01008739875
0.95,2.05,1.38,2.29,2.55,0.54,19.410323280625754,25.039336730287122,18.158503905050576,22.393580121816782,11.79375,0,0.0032234614285714287,0.016929284285714285
