# time_s,speed_mps,steer_rad
0.100503,0,0
0.200942,0,0
0.301396,0,0
0.401811,0,0
0.502231,0,0
0.602638,0,0
0.703021,0,0
0.803388,0,0
0.903787,0,0
1.00427,0,0
1.10471,0,0
1.2051,0,0
1.3055,0,0
1.40592,0,0
1.50634,0,0
1.60679,0,0
1.70723,0,0
1.80766,0,0
1.90804,0,0
2.00847,0,0
2.10887,0,0
2.20928,0,0
2.30965,0,0
2.41006,0,0
2.51048,0,0
2.61108,0,0
2.71152,0,0
2.81193,0,0
2.91234,0,0
3.01285,0,0
3.11323,0,0
3.21358,0,0
3.31398,0,0
3.41443,0,0
3.51487,0,0
3.61532,0,0
3.71584,0,0
3.81625,0,0
3.91663,0,0
4.01698,0,0
4.11739,0,0
4.21775,0,0
4.31822,0,0
4.41872,0,0
4.51906,0,0
4.61953,0,0
4.71997,0,0
4.82044,0,0
4.92612,0,0
5.02663,0,0
5.12708,0,0
5.22746,0,0
5.32789,0,0
5.42829,0,0
5.52868,0,0
5.62911,0,0
5.70572,0.5,0
5.8062,0.5,0
5.90661,0.5,0
6.007,0.5,0
6.10742,0.5,0
6.20778,0.5,0
6.30821,0.5,0
6.40866,0.5,0
6.5091,0.5,0
6.60959,0.5,0
6.71002,0.5,0
6.81049,0.5,0
6.91094,0.5,0
7.02828,0.5,0
7.12873,0.5,0
7.2292,0.5,0
7.32959,0.5,0
7.43013,0.5,0
7.53054,0.5,0
7.63099,0.5,0
7.73141,1,0
7.83183,1,0
7.93229,1,0
8.03281,1,0
8.13332,1,0
8.24024,1,-0.113333
8.34077,1,-0.0933333
8.44121,1,-0.0733333
8.50688,1.5,-0.0508333
8.60731,1.5,-0.0283333
8.70773,1.5,-0.00583333
8.80815,1.5,0
8.90856,1.5,0
8.94173,1.5,0.114286
9.04221,1.5,0.0917857
9.14267,1.5,0.0692857
9.1793,2,0.0442857
9.27973,2,0.0192857
9.32494,2.5,0
9.4254,2.5,0
9.52581,2.5,0
9.60079,2.5,-0.0888889
9.7012,2.5,-0.0613889
