# x, y, speed_mps, dist_to_wall
-41.3836,-1.2372,2,0
-41.1518,-1.527,2,0
-40.9779,-1.8168,2,0
-40.746,-2.1066,2,0
-40.5722,-2.3964,2,0
-40.3403,-2.6862,2,0
-40.1664,-2.976,2,0
-39.9346,-3.2658,2,0
-39.7028,-3.5556,2,0
-39.4709,-3.8454,2,0
-39.297,-4.1352,2,0
-39.0652,-4.425,2,0
-38.8334,-4.7148,2,0
-38.6595,-5.0046,2,0
-38.4276,-5.2944,2,0
-38.1958,-5.5842,2,0
-38.0219,-5.874,2,0
-37.848,-6.1638,2,0
-37.6742,-6.4536,2,0
-37.5003,-6.7434,2,0
-37.3264,-7.0332,2,0
-37.1525,-7.323,2,0
-37.0366,-7.6128,2,0
-36.8627,-7.9026,2,0
-36.7468,-8.1924,2,0
-36.5729,-8.4822,2,0
-36.457,-8.772,2,0
-36.2252,-9.0618,2,0
-35.9933,-9.3516,2,0
-35.7035,-9.6414,2,0
-35.4137,-9.87324,2,0
-35.1239,-10.0471,2,0
-34.8341,-10.163,2,0
-34.5443,-10.221,2,0
-34.2545,-10.279,2,0
-33.9647,-10.279,2,0
-33.6749,-10.221,2,0
-33.3851,-10.163,2,0
-33.0953,-10.1051,2,0
-32.8055,-10.0471,2,0
-32.5157,-9.9312,2,0
-32.2259,-9.87324,2,0
-31.9361,-9.81528,2,0
-31.6463,-9.69936,2,0
-31.3565,-9.6414,2,0
-31.0667,-9.58344,2,0
-30.7769,-9.46752,2,0
-30.4871,-9.40956,2,0
-30.1973,-9.29364,2,0
-29.9075,-9.23568,2,0
-29.6177,-9.17772,2,0
-29.3279,-9.0618,2,0
-29.0381,-9.00384,2,0
-28.7483,-8.94588,2,0
-28.4585,-8.82996,2,0
-28.1687,-8.772,2,0
-27.8789,-8.71404,2,0
-27.5891,-8.59812,2,0
-27.2993,-8.54016,2,0
-27.0095,-8.4822,2,0
-26.7197,-8.36628,2,0
-26.4299,-8.30832,2,0
-26.1401,-8.25036,2,0
-25.8503,-8.13444,2,0
-25.5605,-8.07648,2,0
-25.2707,-8.01852,2,0
-24.9809,-7.9026,2,0
-24.6911,-7.84464,2,0
-24.4013,-7.78668,2,0
-24.1115,-7.67076,2,0
-23.8217,-7.6128,2,0
-23.5319,-7.55484,2,0
-23.2421,-7.43892,2,0
-22.9523,-7.38096,2,0
-22.6625,-7.26504,2,0
-22.3727,-7.20708,2,0
-22.0829,-7.14912,2,0
-21.7931,-7.0332,2,0
-21.5033,-6.97524,2,0
-21.2135,-6.91728,2,0
-20.9237,-6.80136,2,0
-20.6339,-6.7434,2,0
-20.3441,-6.68544,2,0
-20.0543,-6.56952,2,0
-19.7645,-6.51156,2,0
-19.4747,-6.4536,2,0
-19.1849,-6.33768,2,0
-18.8951,-6.27972,2,0
-18.6053,-6.22176,2,0
-18.3155,-6.10584,2,0
-18.0257,-6.04788,2,0
-17.7359,-5.98992,2,0
-17.4461,-5.874,2,0
-17.1563,-5.81604,2,0
-16.8665,-5.75808,2,0
-16.5767,-5.64216,2,0
-16.2869,-5.5842,2,0
-15.9971,-5.52624,2,0
-15.7073,-5.41032,2,0
-15.4175,-5.35236,2,0
-15.1277,-5.2944,2,0
-14.8379,-5.17848,2,0
-14.5481,-5.12052,2,0
-14.2583,-5.0046,2,0
-13.9685,-4.94664,2,0
-13.6787,-4.88868,2,0
-13.3889,-4.77276,2,0
-13.0991,-4.7148,2,0
-12.8093,-4.65684,2,0
-12.5195,-4.54092,2,0
-12.2297,-4.48296,2,0
-11.9399,-4.425,2,0
-11.6501,-4.30908,2,0
-11.3603,-4.25112,2,0
-11.0705,-4.19316,2,0
-10.7807,-4.07724,2,0
-10.4909,-4.01928,2,0
-10.2011,-3.96132,2,0
-9.91132,-3.8454,2,0
-9.62152,-3.78744,2,0
-9.33172,-3.72948,2,0
-9.04192,-3.61356,2,0
-8.75212,-3.5556,2,0
-8.46232,-3.49764,2,0
-8.17252,-3.38172,2,0
-7.88272,-3.32376,2,0
-7.59292,-3.2658,2,0
-7.30312,-3.14988,2,0
-7.01332,-3.09192,2,0
-6.72352,-3.03396,2,0
-6.43372,-2.91804,2,0
-6.14392,-2.86008,2,0
-5.85412,-2.74416,2,0
-5.56432,-2.6862,2,0
-5.27452,-2.62824,2,0
-4.98472,-2.51232,2,0
-4.69492,-2.45436,2,0
-4.40512,-2.3964,2,0
-4.11532,-2.28048,2,0
-3.82552,-2.22252,2,0
-3.53572,-2.16456,2,0
-3.24592,-2.04864,2,0
-2.95612,-1.99068,2,0
-2.66632,-1.93272,2,0
-2.37652,-1.8168,2,0
-2.08672,-1.75884,2,0
-1.79692,-1.70088,2,0
-1.50712,-1.58496,2,0
-1.21732,-1.527,2,0
-0.927519,-1.46904,2,0
-0.637719,-1.35312,2,0
-0.347919,-1.29516,2,0
-0.0581191,-1.2372,2,0
0.231681,-1.12128,2,0
0.521481,-1.06332,2,0
0.811281,-1.00536,2,0
1.10108,-0.889437,2,0
1.39088,-0.831477,2,0
1.68068,-0.715557,2,0
1.97048,-0.657597,2,0
2.26028,-0.599637,2,0
2.55008,-0.483717,2,0
2.83988,-0.425757,2,0
3.12968,-0.367797,2,0
3.41948,-0.251877,2,0
3.70928,-0.193917,2,0
3.99908,-0.135957,2,0
4.28888,-0.0200373,2,0
4.57868,0.0379227,2,0
4.86848,0.0958827,2,0
5.15828,0.211803,2,0
5.44808,0.269763,2,0
5.73788,0.327723,2,0
6.02768,0.443643,2,0
6.31748,0.501603,2,0
6.60728,0.559563,2,0
6.89708,0.675483,2,0
7.18688,0.733443,2,0
7.47668,0.791403,2,0
7.76648,0.907323,2,0
8.05628,0.965283,2,0
8.34608,1.02324,2,0
8.63588,1.13916,2,0
8.92568,1.19712,2,0
9.21548,1.31304,2,0
9.50528,1.371,2,0
9.79508,1.42896,2,0
10.0849,1.54488,2,0
10.3747,1.60284,2,0
10.6645,1.6608,2,0
10.9543,1.77672,2,0
11.2441,1.83468,2,0
11.5339,1.89264,2,0
11.8237,2.00856,2,0
12.1135,2.06652,2,0
12.4033,2.12448,2,0
12.6931,2.2404,2,0
12.9829,2.29836,2,0
13.2727,2.35632,2,0
13.5625,2.47224,2,0
13.8523,2.5302,2,0
14.1421,2.58816,2,0
14.4319,2.70408,2,0
14.7217,2.76204,2,0
15.0115,2.82,2,0
15.3013,2.93592,2,0
15.5911,2.99388,2,0
15.8809,3.1098,2,0
16.1707,3.16776,2,0
16.4605,3.28368,2,0
16.7503,3.3996,2,0
17.0401,3.51552,2,0
17.3299,3.63144,2,0
17.6197,3.80532,2,0
17.9095,3.92124,2,0
18.1993,4.09512,2,0
18.4891,4.21104,2,0
18.7789,4.38492,2,0
19.0687,4.50084,2,0
19.3585,4.67472,2,0
19.6483,4.79064,2,0
19.9381,4.96452,2,0
20.2279,5.1384,2,0
20.5177,5.31228,2,0
20.8075,5.48616,2,0
21.0973,5.66004,2,0
21.3871,5.83392,2,0
