map,ws,wt,wc,wcl,wd,dm,opp_config,mode,stamp,file_result,file_dur,filename,finish_reason,duration_s,total_dist_m,collision_flag,fgm_min_d,fgm_unsafe_ratio,fgm_track_rms,fre_min_d,fre_unsafe_ratio,fre_track_rms,fgm_sc,fre_sc,S_progress,Score_FGM,Score_FRENET
playground,2.7545,1.3992,0.4503,0.3347,0.397,0.1608,Opp_bumper_v_2.csv,MUX_OBSTACLE,1765057986,CRASH,4.98,Mux_playground_WS2.7545_WT1.3992_WC0.4503_WCL0.3347_WD0.397_DM0.1608_Opp_bumper_v_2.csv_MUX_OBSTACLE_1765057986_CRASH_dur_4.98s.csv,COLLISION DETECTED,4.98,18.45,True,0.0749189,1.0,0.4484606547276657,0.00201756,1.0,0.08831886038238237,0.07879133503890491,0.13024016280251682,0.7991935483870968,0.0,0.0
playground,2.44,1.41,0.78,1.18,1.28,0.35,Opp_bumper_v_3.csv,MUX_OBSTACLE,1765098493,GOAL,12.65,Mux_playground_WS2.44_WT1.41_WC0.78_WCL1.18_WD1.28_DM0.35_Opp_bumper_v_3.csv_MUX_OBSTACLE_1765098493_GOAL_dur_12.65s.csv,GOAL REACHED,12.65,34.11,False,0.00212536,0.9854961832061069,0.4856212156940493,0.0113815,0.9881181759794476,1.4479856746534758,0.0772122363621369,0.0030553261767134686,0.4899193548387097,20.102437190510873,14.911453477531234
playground,0.91,2.12,1.43,2.33,2.59,0.53,Opp_bumper_slow_0.5.csv,MUX_OBSTACLE,1765067762,ABORT,0.0,Mux_playground_WS0.91_WT2.12_WC1.43_WCL2.33_WD2.59_DM0.53_Opp_bumper_slow_0.5.csv_MUX_OBSTACLE_1765067762_ABORT_dur_0.00s.csv,MANUAL_ABORT,0.0,0.0,False,,0.0,,,0.0,,0.2571428571428572,0.2571428571428572,0.0,0.0,0.0
playground,2.61,1.6,0.73,1.11,1.12,0.32,Opp_bumper_slow_1.csv,MUX_OBSTACLE,1765073523,GOAL,12.03,Mux_playground_WS2.61_WT1.60_WC0.73_WCL1.11_WD1.12_DM0.32_Opp_bumper_slow_1.csv_MUX_OBSTACLE_1765073523_GOAL_dur_12.03s.csv,GOAL REACHED,12.03,34.05,False,0.00198958,1.0,0.4548558919790175,0.0154504,0.575428771438572,1.5643087801307123,0.07787772971728321,0.10917545877293863,0.5149193548387098,20.89902172537112,23.089862759267
playground,1.52,2.11,1.46,2.14,2.43,0.5,Opp_bumper_slow_1.csv,MUX_OBSTACLE,1765074760,GOAL,13.86,Mux_playground_WS1.52_WT2.11_WC1.46_WCL2.14_WD2.43_DM0.50_Opp_bumper_slow_1.csv_MUX_OBSTACLE_1765074760_GOAL_dur_13.86s.csv,GOAL REACHED,13.86,34.08,False,0.00155192,1.0,0.467203347370238,0.00522218,0.619092039800995,1.7174304290786908,0.07611380751853744,0.09794776119402986,0.44112903225806455,18.56183749403956,20.090214251324028
playground,2.49,1.48,0.84,1.27,1.35,0.37,Opp_bumper_slow_1.csv,MUX_OBSTACLE,1765074144,GOAL,12.65,Mux_playground_WS2.49_WT1.48_WC0.84_WCL1.27_WD1.35_DM0.37_Opp_bumper_slow_1.csv_MUX_OBSTACLE_1765074144_GOAL_dur_12.65s.csv,GOAL REACHED,12.65,34.09,False,0.00145294,0.9880514705882353,0.4453513726981265,0.0107471,0.6106649534211371,1.4527851711670596,0.08230799717757857,0.10011472626313617,0.4899193548387097,20.45914044759179,21.70561148358082
playground,1.94,2.12,1.39,2.16,2.49,0.52,Opp_bumper_slow_2.csv,MUX_OBSTACLE,1765085787,GOAL,13.22,Mux_playground_WS1.94_WT2.12_WC1.39_WCL2.16_WD2.49_DM0.52_Opp_bumper_slow_2.csv_MUX_OBSTACLE_1765085787_GOAL_dur_13.22s.csv,GOAL REACHED,13.22,34.06,False,0.00430848,1.0,0.4436618851885366,0.0473666,0.5835758163595215,1.7310276546234122,0.07947687354449479,0.10708050436469448,0.4669354838709677,19.571445664243665,21.503699821657644
playground,2.83,1.28,0.9,1.43,1.63,0.42,Opp_bumper_v_5.csv,MUX_OBSTACLE,1765109012,CRASH,8.73,Mux_playground_WS2.83_WT1.28_WC0.90_WCL1.43_WD1.63_DM0.42_Opp_bumper_v_5.csv_MUX_OBSTACLE_1765109012_CRASH_dur_8.73s.csv,COLLISION DETECTED,8.73,29.57,True,0.0185437,0.6511768255884128,0.45182310921854574,0.0440337,0.5019436345966958,0.582374861426645,0.16800837210318734,0.18773237089990039,0.6479838709677419,0.0,0.0
playground,0.9,2.22,1.51,2.39,2.69,0.55,Opp_bumper_slow_0.5.csv,MUX_OBSTACLE,1765069371,GOAL,14.52,Mux_playground_WS0.90_WT2.22_WC1.51_WCL2.39_WD2.69_DM0.55_Opp_bumper_slow_0.5.csv_MUX_OBSTACLE_1765069371_GOAL_dur_14.52s.csv,GOAL REACHED,14.52,34.07,False,0.00552817,1.0,0.4900582112595485,0.00282777,0.6268836648583485,1.685177875037779,0.07284882696292165,0.0959442004649961,0.4145161290322581,17.534901758372257,19.15157790351747
playground,1.31,1.3208,1.2002,1.0344,1.2855,0.1921,Opp_bumper_slow_1.5.csv,MUX_OBSTACLE,1765051819,GOAL,22.71,Mux_playground_WS1.31_WT1.3208_WC1.2002_WCL1.0344_WD1.2855_DM0.1921_Opp_bumper_slow_1.5.csv_MUX_OBSTACLE_1765051819_GOAL_dur_22.71s.csv,GOAL REACHED,22.71,34.1,False,0.00184136,1.0,0.3854291687163951,0.00156952,1.0,1.2840395134055966,0.087795833040515,0.0,0.08427419354838708,8.673934119287662,2.5282258064516125
