# time_s,x_m,y_m,yaw_rad,speed_mps
0.0209759,-72.6722,48.7323,-0.713558,0
0.0416886,-72.6722,48.7323,-0.713558,0
0.062515,-72.6722,48.7323,-0.713558,0
0.0853488,-72.6722,48.7323,-0.713558,0
0.109279,-72.6722,48.7323,-0.713558,0
0.131432,-72.6722,48.7323,-0.713558,0
0.152983,-72.6722,48.7323,-0.713558,0
0.172999,-72.6722,48.7323,-0.713558,0
0.193685,-72.6722,48.7323,-0.713558,0
0.21389,-72.6722,48.7323,-0.713558,0
0.234543,-72.6722,48.7323,-0.713558,0
0.257012,-72.6722,48.7323,-0.713558,0
0.277808,-72.6722,48.7323,-0.713558,0
0.300955,-72.6722,48.7323,-0.713558,0
0.324813,-72.6722,48.7323,-0.713558,0
0.345281,-72.6722,48.7323,-0.713558,0
0.365734,-72.6722,48.7323,-0.713558,0
0.388916,-72.6722,48.7323,-0.713558,0
0.4113,-72.6722,48.7323,-0.713558,0
0.432932,-72.6722,48.7323,-0.713558,0
0.457468,-72.6722,48.7323,-0.713558,0
0.480738,-72.6722,48.7323,-0.713558,0
0.501324,-72.6722,48.7323,-0.713558,0
0.524899,-72.6722,48.7323,-0.713558,0
0.544967,-72.6722,48.7323,-0.713558,0
0.566428,-72.6722,48.7323,-0.713558,0
0.588868,-72.6722,48.7323,-0.713558,0
0.608909,-72.6722,48.7323,-0.713558,0
0.629039,-72.6722,48.7323,-0.713558,0
0.65289,-72.6722,48.7323,-0.713558,0
0.673222,-72.6722,48.7323,-0.713558,0
0.693296,-72.6722,48.7323,-0.713558,0
0.714447,-72.6722,48.7323,-0.713558,0
0.737804,-72.6722,48.7323,-0.713558,0
0.759194,-72.6722,48.7323,-0.713558,0
0.780744,-72.6722,48.7323,-0.713558,0
0.800874,-72.6722,48.7323,-0.713558,0
0.824892,-72.6722,48.7323,-0.713558,0
0.848975,-72.6722,48.7323,-0.713558,0
0.873448,-72.6722,48.7323,-0.713558,0
0.893868,-72.6722,48.7323,-0.713558,0
0.917449,-72.6722,48.7323,-0.713558,0
0.940886,-72.6722,48.7323,-0.713558,0
0.964798,-72.6722,48.7323,-0.713558,0
0.98485,-72.6722,48.7323,-0.713558,0
1.00905,-72.6722,48.7323,-0.713558,0
1.03031,-72.6722,48.7323,-0.713558,0
1.05128,-72.6722,48.7323,-0.713558,0
1.07433,-72.6722,48.7323,-0.713558,0
1.0967,-72.6722,48.7323,-0.713558,0
1.11683,-72.6722,48.7323,-0.713558,0
1.13698,-72.6722,48.7323,-0.713558,0
1.16074,-72.6722,48.7323,-0.713558,0
1.18473,-72.6722,48.7323,-0.713558,0
1.20493,-72.6722,48.7323,-0.713558,0
1.23097,-72.6722,48.7323,-0.713558,0
1.25278,-72.6722,48.7323,-0.713558,0
1.27361,-72.6722,48.7323,-0.713558,0
1.29687,-72.6722,48.7323,-0.713558,0
1.32083,-72.6722,48.7323,-0.713558,0
1.34108,-72.6722,48.7323,-0.713558,0
1.36229,-72.6722,48.7323,-0.713558,0
1.38465,-72.6722,48.7323,-0.713558,0
1.40478,-72.6722,48.7323,-0.713558,0
1.42896,-72.6722,48.7323,-0.713558,0
1.4528,-72.6722,48.7323,-0.713558,0
1.47316,-72.6722,48.7323,-0.713558,0
1.4971,-72.6722,48.7323,-0.713558,0
1.51748,-72.6722,48.7323,-0.713558,0
1.54114,-72.6722,48.7323,-0.713558,0
1.56353,-72.6722,48.7323,-0.713558,0
1.5861,-72.6722,48.7323,-0.713558,0
1.60896,-72.6722,48.7323,-0.713558,0
1.62935,-72.6722,48.7323,-0.713558,0
1.65278,-72.6722,48.7323,-0.713558,0
1.67288,-72.6722,48.7323,-0.713558,0
1.69497,-72.6722,48.7323,-0.713558,0
1.71953,-72.6722,48.7323,-0.713558,0
1.74217,-72.6722,48.7323,-0.713558,0
1.76575,-72.6722,48.7323,-0.713558,0
1.78891,-72.6722,48.7323,-0.713558,0
1.81052,-72.6722,48.7323,-0.713558,0
1.83311,-72.6722,48.7323,-0.713558,0
1.85472,-72.6722,48.7323,-0.713558,0
1.87513,-72.6722,48.7323,-0.713558,0
1.89785,-72.6722,48.7323,-0.713558,0
1.92097,-72.6722,48.7323,-0.713558,0
1.94233,-72.6722,48.7323,-0.713558,0
1.96509,-72.6722,48.7323,-0.713558,0
1.98837,-72.6722,48.7323,-0.713558,0
2.01113,-72.6722,48.7323,-0.713558,0
2.05364,-72.6722,48.7323,-0.713558,0
2.07762,-72.6722,48.7323,-0.713558,0
2.10179,-72.6722,48.7323,-0.713558,0
2.12574,-72.6722,48.7323,-0.713558,0
2.1458,-72.6722,48.7323,-0.713558,0
2.16806,-72.6722,48.7323,-0.713558,0
2.18899,-72.6722,48.7323,-0.713558,0
2.21018,-72.6722,48.7323,-0.713558,0
2.23096,-72.6722,48.7323,-0.713558,0
2.2549,-72.6722,48.7323,-0.713558,0
2.277,-72.6722,48.7323,-0.713558,0
2.29917,-72.6722,48.7323,-0.713558,0
2.32211,-72.6722,48.7323,-0.713558,0
2.34487,-72.6722,48.7323,-0.713558,0
2.36896,-72.6722,48.7323,-0.713558,0
2.38974,-72.6722,48.7323,-0.713558,0
2.41335,-72.6722,48.7323,-0.713558,0
2.434,-72.6722,48.7323,-0.713558,0
2.45831,-72.6722,48.7323,-0.713558,0
2.48089,-72.6722,48.7323,-0.713558,0
2.50091,-72.6722,48.7323,-0.713558,0
2.52108,-72.6722,48.7323,-0.713558,0
2.54115,-72.6722,48.7323,-0.713558,0
2.56131,-72.6722,48.7323,-0.713558,0
2.58496,-72.6722,48.7323,-0.713558,0
2.60893,-72.6722,48.7323,-0.713558,0
2.629,-72.6722,48.7323,-0.713558,0
2.65375,-72.6722,48.7323,-0.713558,0
2.67685,-72.6722,48.7323,-0.713558,0
2.6981,-72.6722,48.7323,-0.713558,0
2.7235,-72.6722,48.7323,-0.713558,0
2.74617,-72.6722,48.7323,-0.713558,0
2.77,-72.6722,48.7323,-0.713558,0
2.7928,-72.6722,48.7323,-0.713558,0
2.81707,-72.6722,48.7323,-0.713558,0
2.83748,-72.6722,48.7323,-0.713558,0
2.86064,-72.6722,48.7323,-0.713558,0
2.88226,-72.6722,48.7323,-0.713558,0
2.90598,-72.6722,48.7323,-0.713558,0
2.92896,-72.6722,48.7323,-0.713558,0
2.94911,-72.6722,48.7323,-0.713558,0
2.97147,-72.6722,48.7323,-0.713558,0
2.99395,-72.6722,48.7323,-0.713558,0
3.01692,-72.6722,48.7323,-0.713558,0
3.03738,-72.6722,48.7323,-0.713558,0
3.05762,-72.6722,48.7323,-0.713558,0
3.08386,-72.6722,48.7323,-0.713558,0
3.10867,-72.6722,48.7323,-0.713558,0
3.13082,-72.6722,48.7323,-0.713558,0
3.1549,-72.6722,48.7323,-0.713558,0
3.17734,-72.6722,48.7323,-0.713558,0
3.20382,-72.6722,48.7323,-0.713558,0
3.22562,-72.6722,48.7323,-0.713558,0
3.24851,-72.6722,48.7323,-0.713558,0
3.27441,-72.6722,48.7323,-0.713558,0
3.29556,-72.6722,48.7323,-0.713558,0
3.31693,-72.6722,48.7323,-0.713558,0
3.34071,-72.6722,48.7323,-0.713558,0
3.36655,-72.6722,48.7323,-0.713558,0
3.39265,-72.6722,48.7323,-0.713558,0
3.41268,-72.6722,48.7323,-0.713558,0
3.44205,-72.6722,48.7323,-0.713558,0
3.46551,-72.6722,48.7323,-0.713558,0
3.48731,-72.6722,48.7323,-0.713558,0
3.5078,-72.6722,48.7323,-0.713558,0
3.53316,-72.6722,48.7323,-0.713558,0
3.55586,-72.6722,48.7323,-0.713558,0
3.58156,-72.672,48.7321,-0.713558,0.0283039
3.60197,-72.6713,48.7315,-0.713558,0.0720957
3.6241,-72.6699,48.7303,-0.713558,0.111822
3.64488,-72.6679,48.7286,-0.713558,0.14786
3.6674,-72.6654,48.7264,-0.713558,0.180552
3.68771,-72.6625,48.7239,-0.713558,0.210209
3.71239,-72.6572,48.7193,-0.713558,0.249614
3.73598,-72.6533,48.7159,-0.713558,0.272859
3.7584,-72.649,48.7122,-0.713558,0.293947
3.78384,-72.642,48.7062,-0.713558,0.321965
3.80689,-72.637,48.7018,-0.713558,0.338493
3.82962,-72.6318,48.6973,-0.713558,0.353487
3.85452,-72.6235,48.6902,-0.713558,0.373409
3.87765,-72.6178,48.6852,-0.713558,0.385162
3.90362,-72.6089,48.6775,-0.713558,0.400777
3.92488,-72.6027,48.6722,-0.713558,0.409989
3.9512,-72.5932,48.6639,-0.713558,0.446003
3.97583,-72.5861,48.6577,-0.713558,0.497436
3.99718,-72.5782,48.6509,-0.713558,0.544093
4.01758,-72.5696,48.6435,-0.713558,0.586419
4.03772,-72.5605,48.6356,-0.713558,0.624815
4.06302,-72.5457,48.6228,-0.713558,0.675831
4.08609,-72.5353,48.6138,-0.713558,0.705927
4.10684,-72.5244,48.6043,-0.713558,0.733228
4.13293,-72.5073,48.5896,-0.713558,0.769502
4.15487,-72.4955,48.5794,-0.713558,0.790901
4.177,-72.4834,48.5689,-0.713558,0.810314
4.19761,-72.471,48.5581,-0.713558,0.827924
4.21838,-72.4584,48.5472,-0.713558,0.8439
4.24524,-72.439,48.5304,-0.713558,0.865125
4.26797,-72.4257,48.5189,-0.713558,0.901422
4.29137,-72.4044,48.5004,-0.713558,0.982813
4.31512,-72.3891,48.4872,-0.713558,1.03083
4.33854,-72.3732,48.4734,-0.713558,1.07439
4.36168,-72.3482,48.4518,-0.713558,1.13226
4.38231,-72.3308,48.4367,-0.713558,1.1664
4.40432,-72.3129,48.4213,-0.713558,1.19737
4.42486,-72.2946,48.4054,-0.713558,1.22547
4.44775,-72.2759,48.3892,-0.713558,1.25095
4.4711,-72.2471,48.3643,-0.713558,1.28482
4.49169,-72.2275,48.3473,-0.713558,1.30479
4.51225,-72.2077,48.3301,-0.713558,1.32292
4.53527,-72.1875,48.3127,-0.713558,1.33936
4.55764,-72.1672,48.2951,-0.713558,1.35427
4.57993,-72.1362,48.2683,-0.713558,1.37409
4.60214,-72.1153,48.2502,-0.713558,1.38578
4.62442,-72.0943,48.232,-0.713558,1.39638
4.64472,-72.0731,48.2137,-0.713558,1.406
4.66841,-72.0518,48.1952,-0.713558,1.41473
4.69353,-72.0196,48.1673,-0.713558,1.42632
4.71736,-71.998,48.1486,-0.713558,1.43316
