# x, y, speed_mps, dist_to_wall
-84.8536,79.617,2,0
-84.8536,79.3272,2,0
-84.8536,79.0374,2,0
-84.8536,78.7476,2,0
-84.8536,78.4578,2,0
-84.8536,78.168,2,0
-84.8536,77.8782,2,0
-84.8536,77.5884,2,0
-84.8536,77.2986,2,0
-84.8536,77.0088,2,0
-84.8536,76.719,2,0
-84.8536,76.4292,2,0
-84.8536,76.1394,2,0
-84.8536,75.8496,2,0
-84.8536,75.5598,2,0
-84.8536,75.27,2,0
-84.8536,74.9802,2,0
-84.8536,74.6904,2,0
-84.8536,74.4006,2,0
-84.8536,74.1108,2,0
-84.8536,73.821,2,0
-84.8536,73.5312,2,0
-84.8536,73.2414,2,0
-84.8536,72.9516,2,0
-84.8536,72.6618,2,0
-84.8536,72.372,2,0
-84.8536,72.0822,2,0
-84.8536,71.7924,2,0
-84.8536,71.5026,2,0
-84.8536,71.2128,2,0
-84.8536,70.923,2,0
-84.8536,70.6332,2,0
-84.8536,70.3434,2,0
-84.8536,70.0536,2,0
-84.8536,69.7638,2,0
-84.8536,69.474,2,0
-84.8536,69.1842,2,0
-84.8536,68.8944,2,0
-84.8536,68.6046,2,0
-84.8536,68.3148,2,0
-84.8536,68.025,2,0
-84.8536,67.7352,2,0
-84.8536,67.4454,2,0
-84.8536,67.1556,2,0
-84.8536,66.8658,2,0
-84.8536,66.576,2,0
-84.8536,66.2862,2,0
-84.8536,65.9964,2,0
-84.8536,65.7066,2,0
-84.8536,65.4168,2,0
-84.8536,65.127,2,0
-84.8536,64.8372,2,0
-84.8536,64.5474,2,0
-84.8536,64.2576,2,0
-84.8536,63.9678,2,0
-84.8536,63.678,2,0
-84.8536,63.3882,2,0
-84.8536,63.0984,2,0
-84.8536,62.8086,2,0
-84.8536,62.5188,2,0
-84.8536,62.229,2,0
-84.8536,61.9392,2,0
-84.8536,61.6494,2,0
-84.8536,61.3596,2,0
-84.8536,61.0698,2,0
-84.8536,60.78,2,0
-84.8536,60.4902,2,0
-84.8536,60.2004,2,0
-84.8536,59.9106,2,0
-84.8536,59.6208,2,0
-84.8536,59.331,2,0
-84.8536,59.0412,2,0
-84.8536,58.7514,2,0
-84.8536,58.4616,2,0
-84.8536,58.1718,2,0
-84.8536,57.882,2,0
-84.8536,57.5922,2,0
-84.8536,57.3024,2,0
-84.8536,57.0126,2,0
-84.8536,56.7228,2,0
-84.8536,56.433,2,0
-84.8536,56.1432,2,0
-84.8536,55.8534,2,0
-84.8536,55.5636,2,0
-84.8536,55.2738,2,0
-84.8536,54.984,2,0
-84.8536,54.6942,2,0
-84.8536,54.4044,2,0
-84.8536,54.1146,2,0
-84.8536,53.8248,2,0
-84.8536,53.535,2,0
-84.8536,53.2452,2,0
-84.8536,52.9554,2,0
-84.8536,52.6656,2,0
-84.8536,52.3758,2,0
-84.8536,52.086,2,0
-84.8536,51.7962,2,0
-84.8536,51.5064,2,0
-84.8536,51.2166,2,0
-84.8536,50.9268,2,0
-84.8536,50.637,2,0
-84.8536,50.3472,2,0
-84.8536,50.0574,2,0
-84.8536,49.7676,2,0
-84.8536,49.4778,2,0
-84.8536,49.188,2,0
-84.8536,48.8982,2,0
-84.8536,48.6084,2,0
-84.8536,48.3186,2,0
-84.8536,48.0288,2,0
-84.8536,47.739,2,0
-84.8536,47.4492,2,0
-84.8536,47.1594,2,0
-84.8536,46.8696,2,0
-84.8536,46.5798,2,0
-84.8536,46.29,2,0
-84.8536,46.0002,2,0
-84.8536,45.7104,2,0
-84.8536,45.4206,2,0
-84.8536,45.1308,2,0
-84.8536,44.841,2,0
-84.8536,44.5512,2,0
-84.8536,44.2614,2,0
-84.8536,43.9716,2,0
-84.8536,43.6818,2,0
-84.8536,43.392,2,0
-84.8536,43.1022,2,0
-84.8536,42.8124,2,0
-84.8536,42.5226,2,0
-84.8536,42.2328,2,0
-84.8536,41.943,2,0
-84.8536,41.6532,2,0
-84.8536,41.3634,2,0
-84.8536,41.0736,2,0
-84.8536,40.7838,2,0
-84.8536,40.494,2,0
-84.8536,40.2042,2,0
-84.8536,39.9144,2,0
-84.8536,39.6246,2,0
-84.8536,39.3348,2,0
-84.8536,39.045,2,0
-84.8536,38.7552,2,0
-84.8536,38.4654,2,0
-84.8536,38.1756,2,0
-84.8536,37.8858,2,0
-84.8536,37.596,2,0
-84.8536,37.3062,2,0
