# time_s,speed_mps,steer_rad
0.100525,0,0
0.200955,0,0
0.301317,0,0
0.401781,0,0
0.502178,0,0
0.602515,0,0
0.702938,0,0
0.80339,0,0
0.903796,0,0
1.00423,0,0
1.10467,0,0
1.20516,0,0
1.3055,0,0
1.406,0,0
1.50634,0,0
1.60676,0,0
1.70716,0,0
1.80752,0,0
1.90793,0,0
2.00834,0,0
2.10873,0,0
2.20912,0,0
2.30955,0,0
2.40998,0,0
2.51038,0,0
2.61084,0,0
2.71121,0,0
2.81161,0,0
2.91198,0,0
3.01234,0,0
3.1127,0,0
3.2131,0,0
3.31355,0,0
3.41396,0,0
3.51433,0,0
3.61467,0,0
3.71499,0,0
3.81535,0,0
3.91573,0,0
4.01611,0,0
4.11649,0,0
4.21689,0,0
4.31727,0,0
4.41769,0,0
4.51805,0,0
4.61855,0,0
4.71892,0,0
4.81931,0,0
4.91979,0,0
5.02023,0,0
5.12067,0,0
5.22114,0,0
5.3216,0,0
5.42209,0,0
5.52258,0,0
5.62295,0,0
5.72337,0,0
5.77314,0.5,0
5.87358,0.5,0
5.97396,0.5,0
6.07439,0.5,0
6.17489,0.5,0
6.27528,0.5,0
6.37105,1,0
6.47152,1,0
6.57195,1,0
6.67231,1,0
6.77271,1,0
6.87308,1,0
6.98677,1,-0.113333
7.08718,1,-0.0933333
7.18762,1,-0.0733333
7.28804,1,-0.0533333
7.38842,1,-0.0333333
7.48884,1,-0.0133333
7.58916,1,0
7.68966,1,0
7.76615,1,0.133333
7.86654,1,0.113333
7.96696,1,0.0933333
8.06737,1,0.0733333
8.16781,1,0.0533333
8.2683,1,0.0333333
8.30316,1.5,0.0108333
8.40365,1.5,0
8.50404,1.5,0
8.58087,2,0
8.68136,2,0
8.75083,2.5,0
8.85126,2.5,0
8.91656,3,0
9.01699,3,0
9.06535,3,-0.08
9.16582,3,-0.05
9.26629,3,-0.02
9.3667,3,0
9.4803,3.5,0
9.56794,4,0
9.66832,4,0
9.74312,4.5,0
9.84358,4.5,0
9.94399,4.5,0
10.0444,4.5,0
10.1448,4.5,0
10.2451,4.5,0
10.3455,4.5,0
10.4459,4.5,0
10.5462,4.5,0
10.6466,4.5,0
10.747,4.5,0
10.8475,4.5,0
10.9478,4.5,0
11.0483,4.5,0
11.1487,4.5,0
11.249,4.5,0
11.3494,4.5,0
11.4499,4.5,0
11.5505,4.5,0
11.6509,4.5,0
11.7513,4.5,0
11.8322,4.5,-0.0615385
11.9327,4.5,-0.0240385
12.0331,4.5,0
12.1335,4.5,0
12.234,4.5,0
12.3344,4.5,0
12.3758,4.5,-0.0615385
12.4762,4.5,-0.0240385
12.5766,4.5,0
12.6767,4.5,-0.0615385
12.7772,4.5,-0.0240385
12.8776,4.5,0
12.9169,4.5,-0.0615385
13.0173,4.5,-0.0240385
13.0951,4.5,-0.0855769
13.1956,4.5,-0.0480769
13.2959,4.5,-0.0105769
13.3963,4.5,0
13.4968,4.5,0
13.5971,4.5,0
13.6593,4.5,0.0615385
13.7597,4.5,0.0240385
13.8601,4.5,0
13.9606,4.5,0
14.0027,4.5,0.0615385
14.1031,4.5,0.0240385
14.2035,4.5,0
14.304,4.5,0
14.4045,4.5,0
14.5048,4.5,0
14.6053,4.5,0
14.7057,4.5,0
14.8062,4.5,0
14.9066,4.5,0
15.0071,4.5,0
15.1074,4.5,0
15.2078,4.5,0
15.3082,4.5,0
15.4087,4.5,0
15.5091,4.5,0
15.6095,4.5,0
15.7098,4.5,0
15.8102,4.5,0
15.9107,4.5,0
16.0111,4.5,0
16.1116,4.5,0
16.2121,4.5,0
16.3125,4.5,0
16.4129,4.5,0
16.5133,4.5,0
16.6138,4.5,0
16.7142,4.5,0
16.8148,4.5,0
16.9152,4.5,0
17.0156,4.5,0
17.1159,4.5,0
17.2164,4.5,0
17.3168,4.5,0
17.4173,4.5,0
17.5177,4.5,0
17.6181,4.5,0
17.6916,4.5,0.0615385
17.7921,4.5,0.0240385
17.8926,4.5,0
17.993,4.5,0
18.0935,4.5,0
18.194,4.5,0
18.2944,4.5,0
18.3948,4.5,0
18.4952,4.5,0
18.5956,4.5,0
18.6996,4.5,0.0240385
18.8001,4.5,0
18.9005,4.5,0
19.0009,4.5,0
19.1013,4.5,0
19.2017,4.5,0
19.288,4.5,0.0615385
19.3885,4.5,0.0240385
19.4889,4.5,0
19.5893,4.5,0
19.6897,4.5,0
19.7902,4.5,0
19.8906,4.5,0
19.9909,4.5,0
20.0913,4.5,0
20.1198,4.5,-0.0615385
20.2203,4.5,-0.0240385
20.3208,4.5,0
20.4212,4.5,0
20.5216,4.5,0
20.622,4.5,0
20.7224,4.5,0
20.7643,4.5,0.0615385
20.8647,4.5,0.0240385
20.9652,4.5,0
21.0657,4.5,0
21.166,4.5,0
21.2664,4.5,0
21.3668,4.5,0
21.4673,4.5,0
21.5679,4.5,0
21.6683,4.5,0
21.7025,4.5,-0.0615385
21.803,4.5,-0.0240385
21.9034,4.5,0
22.0039,4.5,0
22.1043,4.5,0
22.2047,4.5,0
22.3052,4.5,0
22.4174,4.5,-0.0240385
22.5178,4.5,0
22.6182,4.5,0
22.7186,4.5,0
22.7782,4.5,0.0615385
22.8786,4.5,0.0240385
22.979,4.5,0
23.0794,4.5,0
23.1797,4.5,0
23.2802,4.5,0
23.3436,4.5,0.0615385
23.4439,4.5,0.0240385
23.5443,4.5,0
23.654,0,0.2
23.7544,0,0.185
23.8548,0,0.17
23.9553,0,0.155
24.0291,0.5,0.1375
24.1295,0.5,0.12
24.2299,0.5,0.1025
24.3303,0.5,0.085
24.3855,1,0.065
24.4859,1,0.045
24.5863,1,0.025
24.6866,1,0.005
24.787,1,0
24.8874,1,0
24.9878,1,0
25.0882,1,0
25.1885,1,0
25.289,1,0
25.342,1,0.133333
25.4423,1,0.113333
25.5424,1,0.246667
25.6428,1,0.226667
25.7432,1,0.206667
25.7863,0,0
25.8868,0,0
25.9871,0,0
26.0959,0,0.185
26.1963,0,0.17
26.2967,0,0.155
26.3971,0,0.14
26.4975,0,0.125
26.598,0,0.11
26.6984,0,0.095
26.7988,0,0.08
26.8992,0,0.065
26.9996,0,0.05
27.1,0,0.035
27.2004,0,0.02
27.3009,0,0.005
27.4012,0,0
27.5017,0,0
27.6021,0,0
27.7026,0,0
27.8031,0,0
27.9036,0,0
28.004,0,0
28.1044,0,0
28.2048,0,0
28.3051,0,0
28.4056,0,0
28.506,0,0
28.6065,0,0
28.707,0,0
28.8074,0,0
28.9078,0,0
29.0083,0,0
29.1088,0,0
29.2092,0,0
29.3096,0,0
29.41,0,0
29.5104,0,0
29.6109,0,0
29.7113,0,0
29.8117,0,0
29.9122,0,0
30.0126,0,0
30.1131,0,0
30.1883,0.5,0
30.2888,0.5,0
30.3247,1,0
30.4252,1,0
30.4687,1.5,0
30.5692,1.5,0
30.6139,2,0
30.7145,2,0
30.8149,2,0
30.9197,2,0.075
31.0201,2,0.05
31.1204,2,0.025
31.1775,2,0.125
31.2779,2,0.1
31.3784,2,0.075
31.4787,2,0.05
31.5918,2,0.125
31.6922,2,0.1
31.7926,2,0.075
31.893,2,0.05
31.9934,2,0.025
32.0331,2.5,0
32.1336,2.5,0
32.2085,3,0
32.293,3,-0.08
32.3934,3,-0.05
32.4938,3,-0.02
32.5942,3,0
32.6729,3.5,0
32.7734,3.5,0
32.8157,4,0
32.9161,4,0
32.9616,4.5,0
33.0621,4.5,0
33.0946,5,0
33.1951,5,0
33.2957,5,0
33.3961,5,0
33.4966,5,0
33.5969,5,0
33.6973,5,0
33.7977,5,0
33.8981,5,0
33.9985,5,0
34.0989,5,0
34.1993,5,0
34.2997,5,0
34.4001,5,0
34.5005,5,0
34.6009,5,0
34.7013,5,0
34.8017,5,0
34.9022,5,0
35.0026,5,0
35.1029,5,0
35.2033,5,0
35.3037,5,0
35.4041,5,0
35.5045,5,0
35.605,5,0
35.7054,5,0
35.8058,5,0
35.9063,5,0
36.0066,5,0
36.107,5,0
36.1327,5,-0.0571429
36.2332,5,-0.0171429
36.3337,5,0
36.4038,5,-0.0571429
36.5043,5,-0.0171429
36.6047,5,0
36.6276,5,-0.0571429
36.7279,5,-0.0171429
36.8283,5,0
36.9288,5,0
36.9655,5,0.0571429
37.0659,5,0.0171429
37.1663,5,0
37.2668,5,0
37.3672,5,0
37.4181,5,0.0571429
37.5186,5,0.0171429
37.619,5,0
37.7195,5,0
37.7491,5,0.0571429
37.8495,5,0.0171429
37.95,5,0
38.0504,5,0
38.1508,5,0
38.2512,5,0
38.3516,5,0
38.452,5,0
38.5524,5,0
38.6529,5,0
38.7533,5,0
38.8537,5,0
38.9542,5,0
39.0547,5,0
39.1551,5,0
39.2555,5,0
39.3559,5,0
39.4563,5,0
39.5568,5,0
39.6572,5,0
39.7576,5,0
39.858,5,0
39.9584,5,0
40.0589,5,0
40.1593,5,0
40.2598,5,0
40.3602,5,0
40.4606,5,0
40.561,5,0
40.6614,5,0
40.7619,5,0
40.8624,5,0
40.9627,5,0
41.0632,5,0
41.1637,5,0
41.2641,5,0
41.3646,5,0
41.4651,5,0
41.5655,5,0
41.666,5,0
41.7663,5,0
41.8668,5,0
41.9672,5,0
42.0677,5,0
42.1681,5,0
42.2402,4.5,0
42.3406,4.5,0
42.4411,4.5,0
42.5414,4.5,0
42.6418,4.5,0
42.7422,4.5,0
42.8531,4.5,0.0240385
42.9275,4.5,0.0855769
43.0279,4.5,0.0480769
43.1336,4,0
43.2111,3.5,0
43.3169,3.5,0.0402273
43.4178,3.5,0.00772727
43.5181,3.5,0
