ws,wt,wc,wcl,wd,dm,Score_FGM_mean,Score_FGM_max,Score_FRENET_mean,Score_FRENET_max,duration_s_mean,valid_count_sum,fgm_min_d_mean,fgm_ratio_mean,frenet_ratio_mean
2.62,1.59,0.71,1.12,1.09,0.31,31.116421482693738,35.042421963972835,32.597987428757726,40.12498867460671,12.74625,8,0.00200604875,0.28227580347010883,0.7177241965298912
2.7,1.27,0.69,1.09,1.12,0.31,30.96532756746309,34.76207438736063,33.58549257998719,37.78743715120252,12.5625,8,0.00200426125,0.2803749585468841,0.7196250414531159
2.58,1.29,0.73,1.22,1.41,0.37,30.819284479233566,36.124263335130436,30.5529730428585,35.72934415794986,12.9475,8,0.00276531625,0.2113293184636323,0.7886706815363678
0.83,2.43,1.67,2.57,2.79,0.56,30.407547189168234,34.969911307870305,28.304904178631993,34.02718376459216,13.303749999999999,8,0.00405511625,0.3034029820273019,0.6965970179726981
2.92,1.42,1.04,1.58,1.77,0.47,30.400044071534005,33.96740845255442,29.739151673371552,33.2731534604587,13.0475,8,0.00307687875,0.20797492978171767,0.7920250702182823
1.37,1.98,1.12,1.87,2.21,0.45,30.273928390667272,39.90297320568825,29.786057725131517,53.6898024219853,13.235,8,0.0026226,0.27752890918806444,0.7224710908119356
1.41,2.18,1.44,2.2,2.49,0.53,30.21416709464369,36.802397049607,29.694966196988513,45.39707904986283,13.27375,8,0.0029390600000000003,0.2774237187979184,0.7225762812020816
0.92,1.99,1.4,2.22,2.49,0.47,30.06230344684283,36.497073733260834,29.791822069999952,43.60041203749675,13.23625,8,0.0020523375,0.2622771948496482,0.7377228051503518
0.98,2.48,1.56,2.4,2.62,0.52,30.043032899161435,39.48669343705519,29.467325976190338,39.196766030324056,13.30375,8,0.0038895575,0.30468751695740226,0.6923600545662172
1.41,1.89,1.23,1.88,2.2,0.45,30.032199527401666,34.88015046122875,29.355442282828125,36.61066093263341,13.18875,8,0.0035694775,0.2805196562956202,0.7194803437043797
2.98,1.08,0.79,1.2,1.41,0.4,29.93589516350084,37.966544447910685,29.62598675758739,35.46573192221073,13.0125,8,0.00283939125,0.23436390361806972,0.7656360963819302
0.83,2.59,1.74,2.67,2.86,0.59,29.843236689011555,36.188409347670905,27.010794546557715,37.05024528433633,13.43875,8,0.0037430287500000003,0.28731957008111775,0.7126804299188823
2.77,1.18,0.92,1.54,1.82,0.45,29.631498971153583,34.86288692890361,29.47095159548455,37.062102250867675,13.145,8,0.0029233325,0.1852798472882858,0.8147201527117142
1.12,2.38,1.66,2.44,2.8,0.54,29.517371444645747,35.51101821820225,26.40380660401671,34.26275859545217,13.525,8,0.00428713,0.28983060215175704,0.710169397848243
2.71,1.55,0.9,1.47,1.82,0.45,29.47089972014896,34.761991684766194,28.28031750322597,32.45281327103748,13.275,8,0.00231644875,0.19941766432158145,0.8005823356784185
0.93,2.02,1.36,2.2,2.46,0.48,29.403131514709884,34.977734569575745,26.024306642951082,29.29430836236792,13.64875,8,0.0028291699999999998,0.29490393868949116,0.7050960613105088
1.59,2.56,1.96,2.79,3.12,0.59,29.34002735801534,34.23337239714556,28.1973580315019,35.35330242090892,13.35125,8,0.00200036125,0.29166621415810595,0.708333785841894
0.8,2.4,1.65,2.56,2.79,0.57,29.22953761266836,39.32241346506126,26.61139590400213,33.210033063556786,13.56125,8,0.00446177,0.2708523875185266,0.7291476124814734
1.41,2.66,1.7,2.3,2.59,0.51,29.029121786283003,36.51802989129811,27.886200058090864,33.410809908575104,13.47125,8,0.00420532,0.31222887054836235,0.6877711294516377
2.95,1.34,0.89,1.42,1.67,0.43,28.84072986818669,33.76428752768468,30.521619028750628,35.354033780572024,13.03125,8,0.00299571375,0.20726249139125758,0.7896824438266459
1.63,1.65,0.96,1.28,1.33,0.38,28.722718958305784,34.534994739195454,27.43601867209304,31.625657083471147,13.37125,8,0.0027423725,0.21908703930757478,0.7804660000249639
2.78,1.33,0.84,1.41,1.69,0.44,28.69315649441358,34.33689777960131,28.95858250100449,39.134279485385335,13.28625,8,0.00251510625,0.2223519291264413,0.7776480708735587
