# x,y,yaw_rad,speed_mps,dist_to_wall
32.32596,32.40153,3.13669,7.0,1.55
32.22596,32.40202,3.13648,7.0,1.55
32.12596,32.40253,3.13482,7.0,1.55
32.02596,32.4032,3.13351,7.0,1.55
31.92596,32.40401,3.13087,7.0,1.55
31.82597,32.40509,3.12942,7.0,1.55
31.72598,32.4063,3.12754,7.0,1.55
31.62599,32.40771,3.12454,7.0,1.55
31.526,32.40941,3.12176,7.0,1.55
31.42602,32.4114,3.1177,7.0,1.55
31.32605,32.41379,3.11485,7.0,1.55
31.22609,32.41646,3.11103,7.0,1.55
31.12613,32.41952,3.1058,7.0,1.55
31.0262,32.42309,3.10156,7.0,1.55
30.92628,32.4271,3.09727,7.0,1.55
30.82638,32.43153,3.09175,7.0,1.54998
30.7265,32.43651,3.08704,7.0,1.55022
30.62665,32.44196,3.08199,7.0,1.54869
30.52683,32.44792,3.07673,7.0,1.55529
30.42704,32.4544,3.07223,7.0,1.50471
30.32728,32.46133,3.06787,7.0,1.50054
30.22755,32.4687,3.06365,7.0,1.49958
30.12785,32.47648,3.05932,7.0,1.50044
30.02819,32.4847,3.05579,7.0,1.49855
29.92856,32.49327,3.0543,7.0,1.50346
29.82894,32.50199,3.05181,7.0,1.44849
29.72934,32.51095,3.05101,7.0,1.45131
29.62975,32.52,3.04993,7.0,1.44953
29.53017,32.52915,3.05066,7.0,1.45046
29.43058,32.53824,3.05178,7.0,1.44895
29.33099,32.5472,3.05432,7.0,1.44908
29.23137,32.55592,3.05609,7.0,1.3954
29.13173,32.56446,3.05903,7.0,1.40143
29.03207,32.57271,3.06251,7.0,1.39973
28.93239,32.58061,3.06815,7.0,1.39996
28.83266,32.58795,3.07115,7.0,1.39998
28.7329,32.59498,3.07641,7.0,1.40216
28.63312,32.6015,3.08181,7.0,1.38072
28.5333,32.60747,3.08598,7.0,1.34574
28.43345,32.61303,3.09201,7.0,1.35057
28.33357,32.61799,3.09632,7.0,1.35
28.23368,32.62251,3.101,7.0,1.34998
28.13376,32.62657,3.10644,7.0,1.35001
28.03382,32.63009,3.10951,7.0,1.35
27.93387,32.63329,3.11468,7.0,1.35
27.83391,32.63598,3.11777,7.0,1.35
27.73394,32.63837,3.12103,7.0,1.35
27.63396,32.64042,3.12499,7.0,1.35
