W_TIME,W_DIST,W_SAFE,W_COMF,W_LAT,W_ACC,mean_J_final,min_J_final,mean_T_lap,min_T_lap,runs,success_ratio,crash_or_stuck_runs,min_min_d,mean_unsafe_ratio,max_a_lat,mean_planner_time_ratio_fgm,min_fgm_min_d,mean_fgm_track_rms,mean_avoid_fgm_time_ratio,mean_avoid_fgm_dist_ratio,max_max_speed
1.5546,1.3001,1.2112,2.517,1.2644,0.1987,76.17,76.17,76.17,76.17,1,1.0,0,0.0,0.061378112333526344,13.5099,1.000052642661613,0.0,0.3124660809796457,,,
1.64,1.36,1.52,0.95,1.29,0.38,76.18,76.18,76.18,76.18,1,1.0,0,0.0,0.04620392733382338,9.24996,1.0000525072197428,0.0,0.3142831854771931,,,
2.17,2.5,1.98,1.43,2.22,0.53,76.2,76.2,76.2,76.2,1,1.0,0,0.0,0.05359298724476405,9.25454,1.0000524934383201,0.0,0.3157489248534932,,,
2.4336,1.4355,1.0241,1.3423,1.2577,0.1752,76.2,76.2,76.2,76.2,1,1.0,0,0.0,0.04834725944610857,7.78555,1.0000525541307548,0.0,0.3126306479343706,,,
1.47,1.76,2.81,0.91,1.49,0.46,76.21,76.21,76.21,76.21,1,1.0,0,0.0,0.20500708549834673,9.05782,1.0000524879277766,0.0,0.3198963031096594,,,
2.51,2.78,1.44,1.72,2.55,0.55,76.22,76.22,76.22,76.22,1,1.0,0,0.0,0.05179471032745592,10.9165,1.0000524796641301,0.0,0.2972993534467792,,,
2.07,2.52,0.96,1.4,2.25,0.49,76.22,76.22,76.22,76.22,1,1.0,0,0.0,0.053001679261125104,9.17905,1.0000524796641301,0.0,0.30733966090657394,,,
2.12,2.59,0.91,1.43,2.33,0.53,76.23,76.23,76.23,76.23,1,1.0,0,0.0,0.06962589852563093,10.0665,1.0000524714030852,0.0,0.3109103558326357,,,
2.52,3.1,1.56,1.93,2.79,0.59,76.23,76.23,76.23,76.23,1,1.0,0,0.0,0.061758841431419874,9.33918,1.0000524741564778,0.0,0.3114233467341416,,,
2.51,2.74,0.93,1.6,2.42,0.57,76.23,76.23,76.23,76.23,1,1.0,0,0.0,0.05210136943176452,9.09302,1.0000524714030854,0.0,0.3003282497403108,,,
2.53,2.87,0.88,1.72,2.63,0.58,76.25,76.25,76.25,76.25,1,1.0,0,0.0,0.05733319345362988,9.25837,1.000052457640455,0.0,0.30343703156726626,,,
1.5,1.34,2.39,0.82,1.26,0.37,76.25,76.25,76.25,76.25,1,1.0,0,0.0,0.08330273304306772,9.80448,1.0000524603924037,0.0,0.31541146608895976,,,
2.36,2.77,0.79,1.63,2.53,0.57,76.25,76.25,76.25,76.25,1,1.0,0,0.0,0.04894297854482505,9.16461,1.0000524603924037,0.0,0.31436917511895784,,,
2.58,2.91,0.87,1.81,2.71,0.57,76.26,76.26,76.26,76.26,1,1.0,0,0.0,0.047886289730410155,9.48457,1.0000524521374243,0.0,0.30635632649999683,,,
2.3,2.72,0.74,1.61,2.48,0.56,76.27,76.27,76.27,76.27,1,1.0,0,0.0,0.05438430878959513,9.40714,1.0000524466355483,0.0,0.3090146061221315,,,
2.62,2.9,0.87,1.78,2.71,0.58,76.29,76.29,76.29,76.29,1,1.0,0,0.0,0.051483695082311,9.65937,1.0000524301368428,0.0,0.30793769262613424,,,
2.7474,1.035,1.4516,1.0353,1.2191,0.1973,76.29,76.29,76.29,76.29,1,1.0,0,0.0,0.06772092045812757,8.95024,1.000052540324699,0.0,0.3113257064685116,,,
1.84,2.14,1.35,1.16,1.83,0.45,76.3,76.3,76.3,76.3,1,1.0,0,0.0,0.062486894527154536,9.61322,1.0000524246395806,0.0,0.3118200762056247,,,
1.85,2.15,1.36,1.17,1.84,0.45,76.31,76.31,76.31,76.31,1,1.0,0,0.0,0.07233083494942083,9.0801,1.0000524163958486,0.0,0.3038286961958245,,,
2.06,2.51,0.95,1.39,2.24,0.49,76.31,76.31,76.31,76.31,1,1.0,0,0.0,0.0613271831428871,9.06301,1.0000524191434714,0.0,0.3094040969665857,,,
2.47,2.86,0.81,1.66,2.63,0.59,76.32,76.32,76.32,76.32,1,1.0,0,0.0,0.05387558304072114,9.23812,1.0000524109014675,0.0,0.31866092909888843,,,
2.18,2.63,0.99,1.47,2.33,0.54,76.33,76.33,76.33,76.33,1,1.0,0,0.0,0.04988733427658125,9.25315,1.000052405408238,0.0,0.31199023186866437,,,
0.9277,1.5129,1.189,2.6455,1.9303,0.1799,76.34,76.34,76.34,76.34,1,1.0,0,0.0,0.05049816465652858,7.5709,1.0000524411348264,0.0,0.31221774774817523,,,
1.5,1.2,2.23,0.78,1.18,0.34,76.34,76.34,76.34,76.34,1,1.0,0,0.0,0.18547626532536937,9.56957,1.0000523971705526,0.0,0.3334650902243515,,,
2.48,2.62,0.98,1.56,2.4,0.52,76.35,76.35,76.35,76.35,1,1.0,0,0.0,0.05002881240505003,9.20194,1.0000523889354567,0.0,0.3078782410692942,,,
2.29,2.71,1.54,1.55,2.42,0.56,76.36,76.36,76.36,76.36,1,1.0,0,0.0,0.05505211879943429,9.38804,1.000052383446831,0.0,0.3075977037009146,,,
2.3754,1.6963,1.0608,0.8409,1.7021,0.2147,76.36,76.36,76.36,76.36,1,1.0,0,0.0,0.05893476205483769,18.8503,1.0000525292850762,0.0,0.30993552550654907,,,
1.0977,1.2406,1.0142,2.0636,1.6002,0.2008,76.38,76.38,76.38,76.38,1,1.0,0,0.0,0.05354049656186027,11.354,1.0000524934383201,0.0,0.312099614039419,,,
1.55,1.82,2.76,0.9,1.47,0.46,76.39,76.39,76.39,76.39,1,1.0,0,0.0,0.05947955390334572,9.00719,1.0000523615038224,0.0,0.3094968227412522,,,
1.3851,1.5632,1.2886,1.0061,1.5466,0.2146,76.41,76.41,76.41,76.41,1,1.0,0,0.0,0.06956199746085484,8.57017,1.000052901655822,0.0,0.3148589471627465,,,
1.99,2.49,0.92,1.4,2.22,0.47,76.42,76.42,76.42,76.42,1,1.0,0,0.0,0.06872186747618549,9.48527,1.0000523423187646,0.0,0.30449045750500453,,,
2.41,2.88,1.48,1.83,2.59,0.58,76.42,76.42,76.42,76.42,1,1.0,0,0.0,0.16958023657489793,9.15336,1.0000523423187644,0.0,0.318403155745377,,,
2.15,2.48,1.97,1.41,2.2,0.53,76.42,76.42,76.42,76.42,1,1.0,0,0.0,0.05788757458390035,9.21609,1.0000523423187648,0.0,0.31235582465073003,,,
2.47,2.82,1.5,1.69,2.56,0.58,76.43,76.43,76.43,76.43,1,1.0,0,0.0,0.06102156164957086,9.20102,1.0000523368399017,0.0,0.3077592427534996,,,
2.16,2.38,1.95,1.32,2.09,0.5,76.43,76.43,76.43,76.43,1,1.0,0,0.0,0.056887167678459284,9.77219,1.0000523368399017,0.0,0.30486939765453736,,,
1.66,1.88,2.67,0.97,1.52,0.46,76.46,76.46,76.46,76.46,1,1.0,0,0.0,0.20443607449257167,9.34895,1.000052314935914,0.0,0.3273868364381326,,,
2.56,3.12,1.59,1.96,2.79,0.59,76.46,76.46,76.46,76.46,1,1.0,0,0.0,0.052259887005649715,9.18822,1.000052314935914,0.0,0.30582229014168594,,,
2.12,2.49,1.94,1.39,2.16,0.52,76.46,76.46,76.46,76.46,1,1.0,0,0.0,0.06512868801004394,9.26371,1.0000523149359142,0.0,0.30787714038607594,,,
1.2512,1.6035,1.3203,2.432,1.2317,0.2085,76.47,76.47,76.47,76.47,1,1.0,0,0.0,0.04792332268370607,8.49452,1.0000523779593546,0.0,0.3123694343323947,,,
1.69,2.56,0.78,1.05,2.18,0.49,76.48,76.48,76.48,76.48,1,1.0,0,0.0,0.18497986506981853,9.07996,1.0000523012552303,0.0,0.32589538128066886,,,
2.3,2.73,1.43,1.56,2.43,0.56,76.48,76.48,76.48,76.48,1,1.0,0,0.0,0.07405470425186968,9.14246,1.0000523012552303,0.0,0.3124383635669002,,,
2.24,2.66,1.38,1.51,2.37,0.55,76.48,76.48,76.48,76.48,1,1.0,0,0.0,0.06594843365932744,9.29827,1.00005230125523,0.0,0.3128291566233123,,,
1.3932,1.1112,0.9569,1.4536,1.5237,0.1848,76.49,76.49,76.49,76.49,1,1.0,0,0.0,0.055912966159317956,8.61759,1.0000523067266451,0.0,0.31119446519643207,,,
1.531,1.6963,1.2575,1.2576,1.2109,0.1841,76.49,76.49,76.49,76.49,1,1.0,0,0.0,0.059556859253051174,8.31498,1.000052383446831,0.0,0.3166102313984754,,,
2.04,2.36,1.3,1.28,2.04,0.48,76.5,76.5,76.5,76.5,1,1.0,0,0.0,0.07194395064310363,9.15523,1.0000522875816993,0.0,0.3130183333499825,,,
2.36,2.73,1.57,1.6,2.44,0.57,76.5,76.5,76.5,76.5,1,1.0,0,0.0,0.07168252640384816,9.09515,1.0000522875816993,0.0,0.30951754630340766,,,
1.86,2.16,1.34,1.18,1.85,0.45,76.51,76.51,76.51,76.51,1,1.0,0,0.0,0.06513670343457577,9.49908,1.0000522793810123,0.0,0.31535147795697865,,,
2.61,2.94,0.86,1.72,2.69,0.58,76.52,76.52,76.52,76.52,1,1.0,0,0.0,0.04662589514400711,9.32851,1.0000522739153164,0.0,0.31200347764174535,,,
1.71,2.54,0.7,1.08,2.19,0.5,76.53,76.53,76.53,76.53,1,1.0,0,0.0,0.06025922441726769,9.21537,1.0000522657189148,0.0,0.3094103051454877,,,
2.31,2.68,0.77,1.4,2.33,0.55,76.55,76.55,76.55,76.55,1,1.0,0,0.0,0.11547102774439626,9.21606,1.0000522520639563,0.0,0.32241186521519355,,,
1.5535,1.3573,1.1698,1.306,1.2074,0.1941,76.55,76.55,76.55,76.55,1,1.0,0,0.0,0.07802864011706909,9.29611,1.000052265718915,0.0,0.31772710780103414,,,
2.51,2.86,0.87,1.71,2.62,0.58,76.57,76.57,76.57,76.57,1,1.0,0,0.0,0.062215953612286476,9.52893,1.0000522411451256,0.0,0.3028563137082168,,,
1.3208,1.2855,1.31,1.2002,1.0344,0.1921,76.57,76.57,76.57,76.57,1,1.0,0,0.0,0.05698423505996962,8.7467,1.0000523779593549,0.0,0.31977822858373467,,,
1.98,2.21,1.37,1.12,1.87,0.45,76.6,76.6,76.6,76.6,1,1.0,0,0.0,0.06135449845961046,9.1327,1.000052219321149,0.0,0.312046384599516,,,
1.91,2.09,1.37,1.19,1.78,0.44,76.63,76.63,76.63,76.63,1,1.0,0,0.0,0.056164526568535336,9.29587,1.000052200240121,0.0,0.309531258354465,,,
1.2629,2.6276,0.7571,0.9884,2.2419,0.2356,76.66,76.66,76.66,76.66,1,1.0,0,0.0,0.15496999739107747,8.8198,1.0000521811730327,0.0,0.3198095643117802,,,
1.89,2.2,1.41,1.23,1.88,0.45,76.68,76.68,76.68,76.68,1,1.0,0,0.0,0.06056022116738824,9.78746,1.000052164840897,0.0,0.3123492350951816,,,
2.55,3.11,1.58,1.94,2.78,0.59,76.68,76.68,76.68,76.68,1,1.0,0,0.0,0.067915080068854,9.47195,1.0000521648408973,0.0,0.30479199956136444,,,
2.11,2.43,1.52,1.46,2.14,0.5,76.69,76.69,76.69,76.69,1,1.0,0,0.0,0.09205653783967037,9.21165,1.0000521593991236,0.0,0.3196670896485463,,,
2.01,2.73,0.64,1.32,2.48,0.55,76.71,76.71,76.71,76.71,1,1.0,0,0.0,0.05725310251329649,9.58517,1.0000521457996558,0.0,0.3096232860267418,,,
2.59,2.91,0.9,1.76,2.67,0.59,76.72,76.72,76.72,76.72,1,1.0,0,0.0,0.17850998383817318,8.95617,1.0000521376433786,0.0,0.3240838739304353,,,
1.56,1.33,2.38,0.84,1.26,0.36,76.72,76.72,76.72,76.72,1,1.0,0,0.0,0.18957247132429614,9.38916,1.000052140361854,0.0,0.31605747050869093,,,
2.02,2.38,1.48,1.35,2.06,0.49,76.72,76.72,76.72,76.72,1,1.0,0,0.0,0.07340597466242636,9.19708,1.0000521376433784,0.0,0.3123774388450222,,,
2.49,2.82,1.58,1.7,2.57,0.58,76.73,76.73,76.73,76.73,1,1.0,0,0.0,0.17015065422509515,9.12699,1.0000521322072775,0.0,0.32129870709833,,,
2.55,2.91,0.86,1.76,2.69,0.59,76.74,76.74,76.74,76.74,1,1.0,0,0.0,0.18159074325028668,8.83708,1.0000521240552513,0.0,0.31964289569641147,,,
2.09,2.53,0.97,1.41,2.26,0.49,76.75,76.75,76.75,76.75,1,1.0,0,0.0,0.17943506358140504,9.58647,1.0000521186219837,0.0,0.3247260013536254,,,
1.5873,2.642,1.0388,1.2429,3.0026,0.2454,76.75,76.75,76.75,76.75,1,1.0,0,0.0,0.058366367619445025,17.3708,1.0000521621198686,0.0,0.31738004608905035,,,
0.8564,2.6366,0.5638,0.8468,2.8497,0.2548,76.75,76.75,76.75,76.75,1,1.0,0,0.0,0.0625489070895717,9.02386,1.0000521702838066,0.0,0.3168168814010746,,,
1.0491,1.783,0.8228,3.0837,1.9735,0.1975,76.76,76.76,76.76,76.76,1,1.0,0,0.0,0.07191601049868766,9.15129,1.000052496194026,0.0,0.307810747689396,,,
2.14,2.49,1.96,1.42,2.21,0.53,76.77,76.77,76.77,76.77,1,1.0,0,0.0,0.060539752005835154,9.10744,1.0000521023289741,0.0,0.3071091630849411,,,
1.3472,1.4355,0.9035,1.102,1.634,0.1901,76.77,76.77,76.77,76.77,1,1.0,0,0.0,0.06270281586936041,8.54462,1.0000523423187648,0.0,0.31817092864042107,,,
0.9267,1.4095,0.6663,2.921,1.3054,0.2134,76.77,76.77,76.77,76.77,1,1.0,0,0.0,0.06177022518765638,7.77192,1.0000521294896525,0.0,0.31189719748265504,,,
1.61,1.11,2.59,0.72,1.1,0.32,76.8,76.8,76.8,76.8,1,1.0,0,0.0,0.17457424092495183,8.74428,1.000052083333333,0.0,0.32063426924097205,,,
2.61,2.92,0.91,1.77,2.73,0.59,76.81,76.81,76.81,76.81,1,1.0,0,0.0,0.17882622506899964,9.40107,1.0000520779085513,0.0,0.31695989965577565,,,
1.4804,2.8385,0.5131,1.0786,2.7189,0.2532,76.81,76.81,76.81,76.81,1,1.0,0,0.0,0.060593375542881064,9.25077,1.0000523286237573,0.0,0.31146562768232205,,,
1.69,1.15,2.17,0.94,1.24,0.35,76.81,76.81,76.81,76.81,1,1.0,0,0.0,0.18970006248698187,10.2699,1.0000520751965838,0.0,0.3241194069812252,,,
2.38,2.87,1.46,1.82,2.58,0.58,76.82,76.82,76.82,76.82,1,1.0,0,0.0,0.07039466833281266,8.92874,1.0000520697734967,0.0,0.3104284767755477,,,
2.18,2.49,1.41,1.44,2.2,0.53,76.83,76.83,76.83,76.83,1,1.0,0,0.0,0.07168887963348605,9.1824,1.0000520643515385,0.0,0.31174753587995346,,,
1.58,1.37,2.52,0.82,1.24,0.38,76.83,76.83,76.83,76.83,1,1.0,0,0.0,0.16060180123900256,18.5037,1.000052061640983,0.0,0.3226728694118374,,,
1.2976,1.1516,0.9449,1.439,1.0401,0.187,76.85,76.85,76.85,76.85,1,1.0,0,0.0,0.053623490212411494,8.27195,1.0000520643515385,0.0,0.3110131229829714,,,
1.53,3.01,0.69,1.28,2.57,0.59,76.85,76.85,76.85,76.85,1,1.0,0,0.0,0.07327990007286354,9.37856,1.0000520480924373,0.0,0.3108615526084822,,,
1.35,1.68,2.84,0.86,1.39,0.44,76.92,76.92,76.92,76.92,1,1.0,0,0.0,0.18121782538609538,8.79355,1.0000520020800832,0.0,0.3167124599772473,,,
2.14,2.61,0.95,1.46,2.31,0.53,76.92,76.92,76.92,76.92,1,1.0,0,0.0,0.09666683999792003,9.12204,1.0000520020800832,0.0,0.310436163113724,,,
2.74,2.88,1.39,1.62,2.48,0.5,76.95,76.95,76.95,76.95,1,1.0,0,0.0,0.06918598606923797,9.50164,1.0000519831574572,0.0,0.31316839855491274,,,
1.2108,2.3758,0.8967,1.1897,2.028,0.2582,76.95,76.95,76.95,76.95,1,1.0,0,0.0,0.06750768909972371,9.986,1.0000521322072777,0.0,0.3130540892820491,,,
1.3358,2.9927,0.9615,1.149,2.6532,0.2332,76.96,76.96,76.96,76.96,1,1.0,0,0.0,0.11713824188421657,10.0303,1.0000521104742055,0.0,0.3265601933633802,,,
2.27,2.67,0.84,1.55,2.39,0.54,76.97,76.97,76.97,76.97,1,1.0,0,0.0,0.06817709415921845,9.94065,1.0000519669490204,0.0,0.3030911600153821,,,
2.33,2.72,1.42,1.54,2.41,0.55,77.0,77.0,77.0,77.0,1,1.0,0,0.0,0.07963222689730404,9.43534,1.0000519480519479,0.0,0.31456938704068305,,,
0.8522,2.5519,0.5053,1.4159,2.7225,0.2394,77.0,77.0,77.0,77.0,1,1.0,0,0.0,0.06861981195782037,9.50848,1.0000519480519479,0.0,0.3004426960636777,,,
1.48,1.36,2.41,0.79,1.28,0.37,77.02,77.02,77.02,77.02,1,1.0,0,0.0,0.19136892397174907,8.87106,1.0000519345624512,0.0,0.3232496151123065,,,
1.3506,2.7902,0.605,0.7183,2.8088,0.249,77.03,77.03,77.03,77.03,1,1.0,0,0.0,0.04951218239682788,8.93516,1.0000521757278513,0.0,0.30411354216227343,,,
1.4843,2.8232,0.6147,0.9283,2.6025,0.2735,77.04,77.04,77.04,77.04,1,1.0,0,0.0,0.10377260444813968,7.86098,1.0000519669490202,0.0,0.32684046259815935,,,
1.0386,1.7769,1.3316,2.7936,1.5558,0.2013,77.05,77.05,77.05,77.05,1,1.0,0,0.0,0.05917626637210036,10.4011,1.000052603892688,0.0,0.31363837503801983,,,
1.47,1.34,2.47,0.83,1.26,0.37,77.05,77.05,77.05,77.05,1,1.0,0,0.0,0.17754243887244978,8.91548,1.0000519156889212,0.0,0.3196094014949755,,,
1.5734,1.6116,1.2244,1.4106,1.2118,0.2167,77.08,77.08,77.08,77.08,1,1.0,0,0.0,0.0796326370610965,12.2987,1.0000560035842294,0.0,0.31985943076562384,,,
2.9123,1.9753,1.1311,1.428,2.1387,0.191,77.08,77.08,77.08,77.08,1,1.0,0,0.0,0.06669783387875955,8.75693,1.0000519480519479,0.0,0.3157138309825502,,,
1.1648,1.6912,0.7262,2.3669,1.4363,0.2277,77.09,77.09,77.09,77.09,1,1.0,0,0.0,0.04629290976540049,9.97528,1.0000522520639568,0.0,0.3124787043452103,,,
2.59,2.86,0.83,1.74,2.67,0.59,77.1,77.1,77.1,77.1,1,1.0,0,0.0,0.17799335961817805,9.02261,1.000051880674449,0.0,0.32750465074492857,,,
2.06,2.63,1.92,1.4,2.29,0.5,77.1,77.1,77.1,77.1,1,1.0,0,0.0,0.16990039427267067,9.53694,1.000051880674449,0.0,0.3270692888492579,,,
2.55,2.88,0.89,1.73,2.64,0.59,77.1,77.1,77.1,77.1,1,1.0,0,0.0,0.17290931728574394,9.42683,1.0000518806744487,0.0,0.31864825178095385,,,
0.9327,2.4136,0.9376,0.9817,2.2676,0.2489,77.1,77.1,77.1,77.1,1,1.0,0,0.0,0.06920522930068479,8.24566,1.0000518806744487,0.0,0.31701644880012225,,,
2.12,2.67,1.85,1.5,2.33,0.52,77.11,77.11,77.11,77.11,1,1.0,0,0.0,0.08791949789926863,9.34262,1.000051872600892,0.0,0.311496283893161,,,
1.0906,2.1754,0.5529,1.0699,2.8004,0.2415,77.12,77.12,77.12,77.12,1,1.0,0,0.0,0.16934897726092826,9.59377,1.0000519183843,0.0,0.3209324464895924,,,
1.2613,1.6502,1.128,3.1432,1.8351,0.2074,77.13,77.13,77.13,77.13,1,1.0,0,0.0,0.08183373956334596,7.19196,1.000051861840058,0.0,0.31739352375664026,,,
2.19,2.66,0.88,1.49,2.35,0.54,77.18,77.18,77.18,77.18,1,1.0,0,0.0,0.0701181592039801,9.8867,1.0000518268981602,0.0,0.3105523409299718,,,
2.43,2.79,0.83,1.67,2.57,0.56,77.18,77.18,77.18,77.18,1,1.0,0,0.0,0.06939262023217248,9.50517,1.0000518268981602,0.0,0.30633263880905337,,,
1.42,1.77,2.92,1.04,1.58,0.47,77.19,77.19,77.19,77.19,1,1.0,0,0.0,0.20561716240024874,9.80018,1.0000518215266623,0.0,0.3224122760811083,,,
2.11,2.48,1.92,1.37,2.14,0.52,77.2,77.2,77.2,77.2,1,1.0,0,0.0,0.1855344282679654,9.35715,1.0000518134715026,0.0,0.3253507006845817,,,
0.8112,2.0187,0.5138,0.9638,2.6165,0.2588,77.28,77.28,77.28,77.28,1,1.0,0,0.0,0.05642487046632124,7.94475,1.0000518161562777,0.0,0.3101676058442615,,,
1.007,2.1258,0.9271,0.9742,2.2519,0.272,77.28,77.28,77.28,77.28,1,1.0,0,0.0,0.05896055492286986,9.83844,1.0000517678728584,0.0,0.319588975199903,,,
1.53,1.36,2.33,0.81,1.23,0.38,77.31,77.31,77.31,77.31,1,1.0,0,0.0,0.13787573076724094,15.9014,1.0000517384105962,0.0,0.3267559747422366,,,
2.02,2.46,0.93,1.36,2.2,0.48,77.34,77.34,77.34,77.34,1,1.0,0,0.0,0.08155771617707902,8.75244,1.0000517196793381,0.0,0.3127051228932574,,,
1.1714,1.7631,1.1751,2.2522,1.1078,0.2059,77.37,77.37,77.37,77.37,1,1.0,0,0.0,0.07214085384855096,8.00344,1.0000519399574093,0.0,0.3123251446776565,,,
1.4109,1.4207,1.0714,1.5262,1.552,0.1955,77.39,77.39,77.39,77.39,1,1.0,0,0.0,0.07062308371875488,10.539,1.0000519696497245,0.0,0.31263361395996536,,,
1.3086,1.6143,1.0613,3.073,1.4748,0.221,77.39,77.39,77.39,77.39,1,1.0,0,0.0,0.06769996371364885,13.1624,1.0000518403317782,0.0,0.31457700629319496,,,
1.79,2.8,0.65,1.21,2.41,0.56,77.42,77.42,77.42,77.42,1,1.0,0,0.0,0.18712543914031823,9.52543,1.0000516662361147,0.0,0.3258717075105883,,,
1.79,2.62,0.73,1.2,2.27,0.51,77.42,77.42,77.42,77.42,1,1.0,0,0.0,0.1917234965902046,9.40068,1.000051666236115,0.0,0.3252535436361051,,,
2.28,2.7,1.4,1.55,2.41,0.56,77.44,77.44,77.44,77.44,1,1.0,0,0.0,0.09131759723154796,9.33006,1.000051652892562,0.0,0.31189688962173123,,,
2.44,2.89,0.75,1.74,2.6,0.58,77.44,77.44,77.44,77.44,1,1.0,0,0.0,0.1835648985073085,8.86659,1.000051652892562,0.0,0.3211751391641716,,,
2.45,2.88,0.92,1.68,2.61,0.58,77.45,77.45,77.45,77.45,1,1.0,0,0.0,0.17078965036409646,9.1653,1.0000516475570707,0.0,0.32241644362924865,,,
1.5,0.46,1.6,0.9,1.23,0.43,77.47,77.47,77.47,77.47,1,1.0,0,0.0,0.10601703651456784,9.53742,1.0000542593597395,0.0,0.31571137414585626,,,
2.1,2.47,1.91,1.36,2.13,0.52,77.48,77.48,77.48,77.48,1,1.0,0,0.0,0.18837437406432295,9.07772,1.0000516262261228,0.0,0.3210621725623168,,,
2.4,2.89,1.47,1.8,2.62,0.57,77.55,77.55,77.55,77.55,1,1.0,0,0.0,0.09810191871260573,9.51159,1.0000515809563109,0.0,0.3054109532790008,,,
2.4,2.78,1.38,1.64,2.5,0.57,77.6,77.6,77.6,77.6,1,1.0,0,0.0,0.18885624452347818,9.051,1.0000515463917525,0.0,0.32456027531757686,,,
2.31,2.74,1.41,1.57,2.44,0.56,77.61,77.61,77.61,77.61,1,1.0,0,0.0,0.19495980210265926,9.38682,1.0000515384218935,0.0,0.3310250500432796,,,
2.34,2.76,1.47,1.59,2.47,0.57,77.62,77.62,77.62,77.62,1,1.0,0,0.0,0.1905080902813563,9.04673,1.0000515331100233,0.0,0.3241881926477178,,,
1.88,2.99,0.63,1.28,2.56,0.58,77.63,77.63,77.63,77.63,1,1.0,0,0.0,0.17790715647380081,9.41238,1.00005152514427,0.0,0.32341537005580845,,,
1.56,1.19,1.84,0.79,1.18,0.34,77.64,77.64,77.64,77.64,1,1.0,0,0.0,0.14502086445829684,9.76919,1.0000515198351365,0.0,0.31531507476589493,,,
2.11,2.41,1.93,1.38,2.15,0.51,77.7,77.7,77.7,77.7,1,1.0,0,0.0,0.19576855760321218,9.05678,1.0000514800514801,0.0,0.32573435476419943,,,
1.1848,2.3887,0.6928,1.3157,2.794,0.2309,77.7,77.7,77.7,77.7,1,1.0,0,0.0,0.08401586565703395,8.51774,1.0000515145270965,0.0,0.31682489436352873,,,
2.34,2.74,1.62,1.63,2.4,0.57,77.74,77.74,77.74,77.74,1,1.0,0,0.0,0.18254784935171847,9.81348,1.0000514535631593,0.0,0.32259813877536114,,,
1.95,2.26,1.44,1.27,1.93,0.46,77.74,77.74,77.74,77.74,1,1.0,0,0.0,0.18532619880633874,9.87141,1.0000514535631593,0.0,0.31608895554547467,,,
2.43,2.89,1.5,1.84,2.6,0.58,77.77,77.77,77.77,77.77,1,1.0,0,0.0,0.17840979222382225,9.64723,1.0000514323921206,0.0,0.32714672345851836,,,
1.86,2.11,1.33,1.14,1.81,0.44,77.79,77.79,77.79,77.79,1,1.0,0,0.0,0.18526326614561908,9.29285,1.0000514218131333,0.0,0.3292733384184323,,,
2.18,2.61,1.32,1.52,2.28,0.54,77.83,77.83,77.83,77.83,1,1.0,0,0.0,0.19358651523716533,8.92851,1.0000513927433445,0.0,0.3310974031372971,,,
0.9693,2.3257,0.6806,0.9278,2.1538,0.2478,77.83,77.83,77.83,77.83,1,1.0,0,0.0,0.0718433629682923,8.3132,1.0000513927433445,0.0,0.3155432507913899,,,
2.37,2.74,1.48,1.61,2.46,0.56,77.83,77.83,77.83,77.83,1,1.0,0,0.0,0.19226025285229725,9.52048,1.0000513953846943,0.0,0.3216359341534873,,,
1.8,2.63,0.74,1.21,2.28,0.52,77.89,77.89,77.89,77.89,1,1.0,0,0.0,0.19591228881014738,9.17067,1.0000513557929334,0.0,0.33176741771263624,,,
2.45,2.81,0.85,1.69,2.58,0.57,77.91,77.91,77.91,77.91,1,1.0,0,0.0,0.19862415935109606,9.28796,1.0000513399733033,0.0,0.3325338295385684,,,
2.38,2.8,1.12,1.66,2.44,0.54,77.96,77.96,77.96,77.96,1,1.0,0,0.0,0.18208403878713253,9.19112,1.0000513083632632,0.0,0.3281628500792514,,,
1.73,2.55,0.71,1.09,2.2,0.5,77.99,77.99,77.99,77.99,1,1.0,0,0.0,0.19672803733524796,9.38063,1.0000512873115193,0.0,0.32492702395529505,,,
2.0,2.35,1.47,1.32,2.01,0.48,77.99,77.99,77.99,77.99,1,1.0,0,0.0,0.1918559926150059,9.22168,1.000051287311519,0.0,0.32898976808809977,,,
1.95,2.57,0.77,1.32,2.26,0.52,78.0,78.0,78.0,78.0,1,1.0,0,0.0,0.19429772832162454,9.44133,1.000051282051282,0.0,0.3245637151807723,,,
2.31,2.69,1.29,1.57,2.4,0.55,78.03,78.03,78.03,78.03,1,1.0,0,0.0,0.19221897585729664,9.16837,1.0000512610211196,0.0,0.3203906598481487,,,
2.05,2.83,1.58,1.75,2.61,0.49,78.08,78.08,78.08,78.08,1,1.0,0,0.0,0.19153731878489832,9.62558,1.0000512295081967,0.0,0.3264385014225733,,,
2.04,2.71,0.66,1.31,2.44,0.56,78.09,78.09,78.09,78.09,1,1.0,0,0.0,0.1921737348903913,9.23623,1.000051221636019,0.0,0.3250865898494628,,,
2.55,3.05,1.53,1.88,2.73,0.6,78.13,78.13,78.13,78.13,1,1.0,0,0.0,0.19474735063738288,8.88617,1.0000511980339954,0.0,0.3267239275250359,,,
2.08,2.59,1.99,1.44,2.25,0.52,78.16,78.16,78.16,78.16,1,1.0,0,0.0,0.19067601453354485,9.46366,1.0000511770726714,0.0,0.323325787873646,,,
2.54,3.12,1.57,1.95,2.77,0.6,78.18,78.18,78.18,78.18,1,1.0,0,0.0,0.20336641768136704,9.33073,1.0000511639805576,0.0,0.329950946381988,,,
1.77,2.64,0.72,1.18,2.29,0.51,78.19,78.19,78.19,78.19,1,1.0,0,0.0,0.19776959279721712,9.26076,1.0000511587455874,0.0,0.3301875820022386,,,
