t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
0.000109276,24.6373,8.12803,-0.112227,0.116675,-0.0226451,-0.00264212,FRENET,0.079685,2.67519,0.079685,0,2.67519,1.51166,0

--- Experiment Summary ---
Scenario,Mux_playground_WS0.93_WT2.02_WC1.36_WCL2.20_WD2.46_DM0.48_Opp_bumper_slow_1.csv
Mode,MUX_OBSTACLE
Finish Reason,GOAL REACHED
Duration (s),0.00
Total Dist (m),0.00
Collision,NO
FRENET Usage (%),100.00
FGM Usage (%),0.00
Max Speed (m/s),0.12
Max Lat Acc (m/s^2),0.00
Global Min Dist (m),0.08
Global Unsafe Ratio,1.00
Global Track RMS (m),2.68
Global Lat Acc RMS,0.00
FGM Min Dist (m),1000000000.00
FGM Unsafe Ratio,0.00
FGM Track RMS (m),0.00
