t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
0.000114994,24.0524,7.48266,-0.157791,0.139776,-0.0271286,-0.00379192,FRENET,0,2.08912,0,0,2.08912,0.587798,0

--- Experiment Summary ---
Scenario,Mux_playground_WS1.2043_WT1.1211_WC1.3884_WCL1.4308_WD1.2563_DM0.202_Opp_bumper_slow_1.5.csv
Mode,MUX_OBSTACLE
Finish Reason,GOAL REACHED
Duration (s),0.00
Total Dist (m),0.00
Collision,NO
FRENET Usage (%),100.00
FGM Usage (%),0.00
Max Speed (m/s),0.14
Max Lat Acc (m/s^2),0.00
Global Min Dist (m),0.00
Global Unsafe Ratio,1.00
Global Track RMS (m),2.09
Global Lat Acc RMS,0.00
FGM Min Dist (m),1000000000.00
FGM Unsafe Ratio,0.00
FGM Track RMS (m),0.00
